0PSZ9G584Ve27GK6ThlY6P,5dxHF4lrDimKqnI3GaZUmC,Lady Marmalade - Single Edit,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),0.09
0PSZ9G584Ve27GK6ThlY6P,68rcszAg5pbVaXVvR7LFNh,Lady Marmalade - Single Edit,One Day / Reckoning Song (Wankelmut Remix) - Radio Edit,0.2
0PSZ9G584Ve27GK6ThlY6P,60nZcImufyMA1MKQY3dcCH,Lady Marmalade - Single Edit,"Happy - From """"Despicable Me 2""""""""",0.11
0PSZ9G584Ve27GK6ThlY6P,0PvFJmanyNQMseIFrU708S,Lady Marmalade - Single Edit,For The Night (feat. Lil Baby & DaBaby),0.08
6uSa5iCMwPr10Ftpz8w09b,0cOyhnhy13lc5G5nr4EF0q,Love,Tainted Love,0.46
6uSa5iCMwPr10Ftpz8w09b,5IVuqXILoxVWvWEPm82Jxr,Love,Crazy In Love (feat. Jay-Z),0.18
6uSa5iCMwPr10Ftpz8w09b,62ke5zFUJN6RvtXZgVH0F8,Love,Only Love Can Hurt Like This,0.13
6uSa5iCMwPr10Ftpz8w09b,0t7fVeEJxO2Xi4H2K5Svc9,Love,Send My Love (To Your New Lover),0.15
6uSa5iCMwPr10Ftpz8w09b,5oO3drDxtziYU2H1X23ZIp,Love,Love On The Brain,0.23
0cOyhnhy13lc5G5nr4EF0q,5IVuqXILoxVWvWEPm82Jxr,Tainted Love,Crazy In Love (feat. Jay-Z),0.13
0cOyhnhy13lc5G5nr4EF0q,62ke5zFUJN6RvtXZgVH0F8,Tainted Love,Only Love Can Hurt Like This,0.09
0cOyhnhy13lc5G5nr4EF0q,0t7fVeEJxO2Xi4H2K5Svc9,Tainted Love,Send My Love (To Your New Lover),0.12
0cOyhnhy13lc5G5nr4EF0q,5oO3drDxtziYU2H1X23ZIp,Tainted Love,Love On The Brain,0.14
0rimetBQIYXE3uMCbuXBUa,3oUphdZVPyrsprZ8FgbmQS,A Woman's Worth,I Need A Dollar,0.15
5IVuqXILoxVWvWEPm82Jxr,5dxHF4lrDimKqnI3GaZUmC,Crazy In Love (feat. Jay-Z),Diary (feat. Tony! Toni! Tone! & Jermaine Paul),0.08
5IVuqXILoxVWvWEPm82Jxr,1c8gk2PeTE04A1pIDH9YMk,Crazy In Love (feat. Jay-Z),Rolling in the Deep,0.12
5IVuqXILoxVWvWEPm82Jxr,62ke5zFUJN6RvtXZgVH0F8,Crazy In Love (feat. Jay-Z),Only Love Can Hurt Like This,0.07
5IVuqXILoxVWvWEPm82Jxr,32OlwWuMpZ6b0aN2RZOeMS,Crazy In Love (feat. Jay-Z),Uptown Funk (feat. Bruno Mars),0.09
5IVuqXILoxVWvWEPm82Jxr,2YlZnw2ikdb837oKMKjBkW,Crazy In Love (feat. Jay-Z),Like I'm Gonna Lose You (feat. John Legend),0.09
5IVuqXILoxVWvWEPm82Jxr,0t7fVeEJxO2Xi4H2K5Svc9,Crazy In Love (feat. Jay-Z),Send My Love (To Your New Lover),0.07
5IVuqXILoxVWvWEPm82Jxr,5oO3drDxtziYU2H1X23ZIp,Crazy In Love (feat. Jay-Z),Love On The Brain,0.1
5IVuqXILoxVWvWEPm82Jxr,0PvFJmanyNQMseIFrU708S,Crazy In Love (feat. Jay-Z),For The Night (feat. Lil Baby & DaBaby),0.08
1AWQoqb9bSvzTjaLralEkT,0t7fVeEJxO2Xi4H2K5Svc9,Rock Your Body,Send My Love (To Your New Lover),0.08
3XVBdLihbNbxUwZosxcGuJ,6LGwYMXXgURfaequXipzHx,If I Ain't Got You,You Don't Know My Name,0.11
3XVBdLihbNbxUwZosxcGuJ,4zQuwW24dweWcaX0fEJkP2,If I Ain't Got You,You Know I'm No Good,0.08
3XVBdLihbNbxUwZosxcGuJ,28euH5Ny1JXxZAt2KjWp62,If I Ain't Got You,You Give Me Something,0.1
3XVBdLihbNbxUwZosxcGuJ,3oUphdZVPyrsprZ8FgbmQS,If I Ain't Got You,I Need A Dollar,0.08
3XVBdLihbNbxUwZosxcGuJ,7AqISujIaWcY3h5zrOqt5v,If I Ain't Got You,Forget You,0.12
3XVBdLihbNbxUwZosxcGuJ,1zwMYTA5nlNjZxYrvBB2pV,If I Ain't Got You,Someone Like You,0.11
3XVBdLihbNbxUwZosxcGuJ,22PMfvdz35fFKYnJyMn077,If I Ain't Got You,Marry You,0.12
