track_name,track_id,genre
Mundian To Bach Ke,2LxAeJ9KUj1GRS9oeHgQ3i,alternative hip hop
Where'd You Go (feat. Holly Brook & Jonah Matranga),1GHqc0e7PQ6aEyGlvfSJzS,alternative hip hop
Paper Planes,1ixbwbeBi5ufN4noUKmW5a,alternative hip hop
Young Forever,35srNkJVToAzYiZzron1FY,alternative hip hop
Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn,alternative hip hop
Ride,2Z8WuEywRWYTKe1NybPQEW,alternative hip hop
Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,alternative hip hop
Caroline,5hTpBe8h35rJ67eAWHQsJx,alternative hip hop
EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,alternative hip hop
Yet To Come,10SRMwb9EuVS1K9rYsBfHQ,alternative hip hop
