track_name,track_id,genre
SexyBack (feat. Timbaland),0O45fw2L5vsWpdsOdXwNAR,alternative r&b
All My Friends (feat. Tinashe & Chance the Rapper),6TaqooOXAEcijL6G1AWS2K,alternative r&b
Hymn for the Weekend,3RiPr603aXAoi4GHyXx0uy,alternative r&b
Wait a Minute!,0y60itmpH0aPKsFiGxmtnh,alternative r&b
PILLOWTALK,0PDUDa38GO8lMxLCRc4lL1,alternative r&b
Say It,2Gyc6e2cLxA5hoX1NOvYnU,alternative r&b
Never Be Like You (feat. Kai),5WI2ltQIdwgzf1SNE76JyR,alternative r&b
Tuesday (feat. Danelle Sandoval),7EVk9tRb6beJLTHrg6AkY9,alternative r&b
All My Friends (feat. Tinashe & Chance the Rapper),6TaqooOXAEcijL6G1AWS2K,alternative r&b
Love Galore (feat. Travis Scott),0q75NwOoFiARAVp4EXU4Bs,alternative r&b
Location,152lZdxL1OR0ZMW6KquMif,alternative r&b
Fetish (feat. Gucci Mane),4lnAN2S1fcI0SjxEbksZVr,alternative r&b
SAD!,3ee8Jmje8o58CHK66QrVC2,alternative r&b
Falling,2rRJrJEo19S2J82BDsQ3F7,alternative r&b
hot girl bummer,6jRq8gaZhMUyy5RclRPcAf,alternative r&b
After Hours,2p8IUWQDrpjuFltbdgLOag,alternative r&b
Good Days,3YJJjQPAbDT7mGpX3WtQ9A,alternative r&b
Crazy,2N5zMZX7YeL1tico8oQxa9,alternative r&b
