track_name,track_id,genre
It's My Life,0v1XpBHnsbkCn7iJ9Ucr1l,alternative rock
Yellow,3AJwUDP919kvQ9QcozQPxg,alternative rock
In the End,60a0Rd6pjrkxjPbaKzXjfq,alternative rock
Otherside,64BbK9SFKH2jk86U3dGj2P,alternative rock
Higher,1ZozJfi8u9cO2Ob8KwiwNT,alternative rock
Take A Picture,6q4aoWgTQ8td2AvqQXuFqm,alternative rock
Everything You Want,4cKGldbhGJniI8BrB3K6tb,alternative rock
How You Remind Me,0gmbgwZ8iqyMPmXefof8Yf,alternative rock
The Middle,6GG73Jik4jUlQCkKg9JuGO,alternative rock
Drive,7nnWIPM5hwE3DaUBkvOIpy,alternative rock
Island In The Sun,2MLHyLy5z5l5YRp7momlgw,alternative rock
Clint Eastwood,7yMiX7n9SBvadzox8T5jzT,alternative rock
Youth of the Nation,0UrWr7Jnu1heq1o99ZwUd0,alternative rock
Hanging By A Moment,0wqOReZDnrefefEsrIGeR4,alternative rock
Jaded,6uhj7EIZZm3OwVr0gWfkQn,alternative rock
In the End,60a0Rd6pjrkxjPbaKzXjfq,alternative rock
Can't Stop,3ZOEytgrvLwQaqXreDs2Jx,alternative rock
Clocks,0BCPKOYdS2jbQ8iyB56Zns,alternative rock
By the Way,1f2V8U1BiWaC9aJWmpOARe,alternative rock
In My Place,2nvC4i2aMo4CzRjRflysah,alternative rock
Hero (feat. Josey Scott),779ooI3rBd0CLqCiiJmtVo,alternative rock
Blurry,0FLBNqc5oAiTt4J2e3fe3y,alternative rock
All You Wanted,0kr6d8wHDQPlzuET33NVn6,alternative rock
Seven Nation Army,3dPQuX8Gs42Y7b454ybpMR,alternative rock
Clocks,0BCPKOYdS2jbQ8iyB56Zns,alternative rock
Faint,4Yf5bqU3NK4kNOypcrLYwU,alternative rock
Like a Stone,3YuaBvuZqcwN3CEAyyoaei,alternative rock
All The Things She Said,4bJygwUKrRgq1stlNXcgMg,alternative rock
Since U Been Gone,3xrn9i8zhNZsTtcoWgQEAd,alternative rock
Headstrong,1AEYT6VxrxXPMoQUxsY0E4,alternative rock
Someday,4PkJ7c9y1CwpuVOiJODnCZ,alternative rock
I Miss You,1AdYZ6X00nXmO613Y7GJOl,alternative rock
This Love,6ECp64rv50XVz93WvxXMGF,alternative rock
The Reason,5B5eTk7DF8KVp1zpQoY1XY,alternative rock
Numb,2nLtzopw4rPReszdYBJU6h,alternative rock
Nobody's Home,0cZDC7uxNK8lqQ3GgyvCnD,alternative rock
Mr. Brightside,003vvx7Niy0yvhvHt4a68B,alternative rock
Somewhere Only We Know,0ll8uFnc0nANY35E0Lfxvg,alternative rock
La Camisa Negra,2EM9zpAc7PVeoAydmbfVIL,alternative rock
My Happy Ending,6sqNctd7MlJoKDOxPVCAvU,alternative rock
Breaking the Habit,6n8TMVyFKoUmDc4apxceRD,alternative rock
Vertigo,1gVVSmhWjci8l9Vrsl6HaS,alternative rock
Don't Tell Me,0dEQaNYfp5G7Sflek2Qnde,alternative rock
You're Beautiful,0vg4WnUWvze6pBOJDTq99k,alternative rock
Bad Day,0mUyMawtxj1CJ76kn9gIZK,alternative rock
Feel Good Inc.,0d28khcov6AiegSCpG5TuT,alternative rock
Numb / Encore,5sNESr6pQfIhL3krM8CtZn,alternative rock
Best of You,5FZxsHWIvUsmSK1IAvm2pp,alternative rock
Since U Been Gone,3xrn9i8zhNZsTtcoWgQEAd,alternative rock
Photograph,3hb2ScEVkGchcAQqrPLP0R,alternative rock
Scars,3TAtUJc4Sj913Cs5gBUeu0,alternative rock
Chasing Cars,5hnyJvgoWiQUYZttV4wXy6,alternative rock
How to Save a Life,5fVZC9GiM4e8vu99W0Xf6J,alternative rock
Supermassive Black Hole,3lPr8ghNDBLc2uZovNyLs9,alternative rock
When You Were Young,70wYA8oYHoMzhRRkARoMhU,alternative rock
I Write Sins Not Tragedies,4bPQs0PHn4xbipzdPfn6du,alternative rock
Patience,4DxybsoSiMUW0JI2oM0SSN,alternative rock
Is It Any Wonder?,5xT8JXJSyHYNfC11OFqzFL,alternative rock
It Ends Tonight,5ZqNz8GXWpkb95f7aVxTA0,alternative rock
Chasing Cars,5hnyJvgoWiQUYZttV4wXy6,alternative rock
What I've Done,18lR4BzEs7e3qzc0KVkTpU,alternative rock
How to Save a Life,5fVZC9GiM4e8vu99W0Xf6J,alternative rock
Paralyzer,28IEbk5a7twNTbUEvWslUb,alternative rock
Misery Business,6SpLc7EXZIPpy0sVko0aoU,alternative rock
Fake It,4eAwB5pnKFTmsgc3zWoYO0,alternative rock
Patience,4DxybsoSiMUW0JI2oM0SSN,alternative rock
Sex on Fire,0ntQJM78wzOLVeCUAW7Y45,alternative rock
