track_name,track_id,genre
It's My Life,0v1XpBHnsbkCn7iJ9Ucr1l,arena rock
Chelsea Dagger,3ItzRpwvKtkDSNdRSjXu7Z,arena rock
Snow (Hey Oh),2aibwv5hGXSgw7Yru8IYTO,arena rock
Stop And Stare,48s0QHJgmiNsth3WEO6U4M,arena rock
21 Guns,64yrDBpcdwEdNY9loyEGbX,arena rock
Every Teardrop Is a Waterfall,2U8g9wVcUu9wsg6i7sFSv8,arena rock
The Edge Of Glory,0JNdS1n0ifOP25XvhwAMgM,arena rock
We Are Young (feat. Janelle Monáe),7a86XRg84qjasly9f6bPSD,arena rock
Radioactive,4G8gkOterJn0Ywt6uhqbhp,arena rock
Centuries,04aAxqtGp5pv12UXAg4pkq,arena rock
Thunder,1zB4vmk8tFRmM9UULNzbLB,arena rock
Believer,0pqnGHJpmpxLKifKRmU6WP,arena rock
Whatever It Takes,6Qn5zhYkTa37e91HC1D7lb,arena rock
