track_name,track_id,genre
Handbags And Gladrags,3U8UHbqKeR0jlkg8Qlwunr,blue-eyed soul
Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,blue-eyed soul
Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,blue-eyed soul
Love Yourself,50kpGaPAhYJ3sGmk6vplg0,blue-eyed soul
Take Me to Church,1CS7Sd1u5tWkstBhpssyjP,blue-eyed soul
Love Yourself,50kpGaPAhYJ3sGmk6vplg0,blue-eyed soul
You Don't Own Me (feat. G-Eazy),6KI1ZpZWYAJLvmVhCJz65G,blue-eyed soul
Higher Love,6oJ6le65B3SEqPwMRNXWjY,blue-eyed soul
Easy On Me,0gplL1WMoJ6iYaPgMCL0gX,blue-eyed soul
Waiting On the World to Change,5imShWWzwqfAJ9gXFpGAQh,blue-eyed soul
Easy On Me,46IZ0fSY2mpAiktS3KOqds,blue-eyed soul
