track_name,track_id,genre
Turn Off The Light,4gM2BugovNf4bvXdjZODzG,blues rock
Seven Nation Army,3dPQuX8Gs42Y7b454ybpMR,blues rock
Ain't No Rest for the Wicked,3Pzh926pXggbMe2ZpXyMV7,blues rock
Violet Hill,1ZqHjApl3pfzwjweTfMi0g,blues rock
Why'd You Only Call Me When You're High?,086myS9r57YsLbJpU0TgK9,blues rock
Way down We Go,0y1QJc3SJVPKJ1OvFmFqe6,blues rock
Take Me to Church,1CS7Sd1u5tWkstBhpssyjP,blues rock
Ex's & Oh's,70eDxAyAraNTiD6lx2ZEnH,blues rock
Let It Go,13HVjjWUZFaWilh2QUJKsP,blues rock
Higher Love,6oJ6le65B3SEqPwMRNXWjY,blues rock
Waiting On the World to Change,5imShWWzwqfAJ9gXFpGAQh,blues rock
Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst,blues rock
