track_name,track_id,genre
Clumsy,50xeLNGKmskmYUSINhqvfa,bubblegum music
What the Hell,2z4U9d5OAA4YLNXoCgioxo,bubblegum music
We Are Never Ever Getting Back Together,0VwNdo84DaVYLIkbVO86ND,bubblegum music
22,6ce41JVa6KFaryfmC2bu2W,bubblegum music
Lips Are Movin,6gj08XDlv9Duc2fPOxUmVD,bubblegum music
Kiss Me More (feat. SZA),748mdHapucXQri7IAO8yFK,bubblegum music
Nonsense,6dgUya35uo964z7GZXM07g,bubblegum music
Cupid - Twin Ver.,7FbrGaHYVDmfr7KoLIZnQ7,bubblegum music
Super Shy,5sdQOyqq2IDhvmx2lHOpwd,bubblegum music
Feather,2Zo1PcszsT9WQ0ANntJbID,bubblegum music
