track_name,track_id,genre
Lucky,2TTYIwTM2iLC1YOyHuhRMt,bubblegum pop
Come on over Baby (All I Want Is You) - Radio Version,7A0apkTSTvMbSI7yplcmlh,bubblegum pop
Soak Up The Sun,215JYyyUnrJ98NK3KEwu6d,bubblegum pop
Girlfriend,45hOioMDJktr86iKDHC8gr,bubblegum pop
What Makes You Beautiful,4cluDES4hQEUhmXj6TXkSo,bubblegum pop
Live While We're Young,6Vh03bkEfXqekWp7Y1UBRb,bubblegum pop
Wings,3180WDzph4WrS4sLSNcGfa,bubblegum pop
All About That Bass,5jE48hhRu8E6zBDPRSkEq7,bubblegum pop
Ice Cream (with Selena Gomez),2J4P46vCFm1rPkNkp9pZWX,bubblegum pop
I Like You (A Happier Song) (with Doja Cat),0O6u0VJ46W86TxN9wgyqDj,bubblegum pop
Boy's a liar Pt. 2,6AQbmUe0Qwf5PZnt4HmTXv,bubblegum pop
Call Me Maybe,3TGRqZ0a2l1LRblBkJoaDx,bubblegum pop
Troublemaker (feat. Flo Rida),6s8nHXTJVqFjXE4yVZPDHR,bubblegum pop
Boy With Luv (feat. Halsey),4a9tbd947vo9K8Vti9JwcI,bubblegum pop
