track_name,track_id,genre
The Real Slim Shady,3yfqSUWxFvZELEM4PmlwIR,comedy hip hop
Purple Pills,5IweeQZdY5XEzStLzUJG5t,comedy hip hop
Because I Got High,0rRboI6IRuGx56Dq3UdYY4,comedy hip hop
Without Me,7lQ8MOhq6IN2w8EYcFNSUk,comedy hip hop
Rollout (My Business),4SyadrABZJIjeND1HPJS31,comedy hip hop
Just Lose It,0qcjuYtMWhBjXg0Xwt5SzS,comedy hip hop
Ass Like That,0avjVeujL8PYfm8tKKszLH,comedy hip hop
Shake That,0fGh0trRN1xz3s41r7V5ce,comedy hip hop
We Made You,4UMTp91LHhvW33ol9ZQH0Q,comedy hip hop
Thrift Shop (feat. Wanz),6CjtS2JZH9RkDz5UVInsa9,comedy hip hop
