track_name,track_id,genre
Thong Song,5Mmk2ii6laakqfeCT7OnVD,contemporary r&b
Say My Name,7H6ev70Weq6DdpZyyTmUXk,contemporary r&b
"Jumpin', Jumpin'",4pmc2AxSEq6g7hPVlJCPyP,contemporary r&b
It's Gonna Be Me,2AW37v0bDyuOzGP3XnmFuA,contemporary r&b
Show Me the Meaning of Being Lonely,3BsaRV5QIulYz2lV9WWa8T,contemporary r&b
Try Again,6Wnlq1Pu3I0BajLvxn05Vr,contemporary r&b
I Wanna Know,1m2xMsxbtxv21Brome189p,contemporary r&b
He Wasn't Man Enough,7f1Dmr246cJ9uQYdbplTbh,contemporary r&b
This I Promise You,46n2EGFnPC3tzWCN1Aqe26,contemporary r&b
Shackles (Praise You),7JKEA8xYDoFp4q0QBW2PGg,contemporary r&b
What a Girl Wants,5bGmuxShUba9maPswDnhCs,contemporary r&b
Fill Me In,0UzsDmdpw0Q14KU4hieQss,contemporary r&b
I Turn to You,4Do68W4FWO2hRAJCzG1lus,contemporary r&b
I Just Wanna Love U (Give It 2 Me),0s46SltT4On0Z6kglK1I5c,contemporary r&b
Thank God I Found You (feat. Joe & 98°),1RS3LStQYhju50eBdD9Uul,contemporary r&b
Rise,63nkNgHkmfgjElTEnCzKYU,contemporary r&b
Separated,5S0cvScXb33JVpjTiY9Ivi,contemporary r&b
Against All Odds (Take A Look at Me Now) - Mariah Only,6PS1YRjdJ5Muakh2oh0UB2,contemporary r&b
Get It On Tonite,0AcLrSfAEBQcUnHOTm5pXg,contemporary r&b
Case Of The Ex (Whatcha Gonna Do),1ak0S3NhwWrUgNlQhJ1412,contemporary r&b
There You Go,6dJ2mSRaKE9ctYw9qWNGWQ,contemporary r&b
Wifey,3NEzjZbeSCy72Kx1clSYgC,contemporary r&b
Ms. Jackson,0I3q5fE6wg7LIfHGngUTnV,contemporary r&b
Family Affair,3aw9iWUQ3VrPQltgwvN9Xu,contemporary r&b
Fallin',0KQx6HOpJueiSkztcS0r7D,contemporary r&b
Smooth Criminal,5z6xHjCZr7a7AIcy8sPBKy,contemporary r&b
Let Me Blow Ya Mind,3RmKpob8xzv1pzHEQrMJah,contemporary r&b
U Remind Me,2QsZVnbWVSjKMXK6K3uRBL,contemporary r&b
I'm a Slave 4 U,6ldwfK0yWgTAlmIfuQkTYN,contemporary r&b
You Rock My World,1Lhwn4PqeGpM4LTVUowW76,contemporary r&b
Love Don't Cost a Thing,1fgvJXlcZ7uIddMpqsqw0L,contemporary r&b
This I Promise You,46n2EGFnPC3tzWCN1Aqe26,contemporary r&b
I'm Real (feat. Ja Rule) - Murder Remix,6MLsahMK3VvH9NUwXOktdS,contemporary r&b
All Rise,7jley98gCQFueQ5MCaFWIb,contemporary r&b
Put It On Me,0OvwzS8FX73Bw7ykMRmffU,contemporary r&b
All For You,5X8kkUaUlAyAUr9TYqDFTH,contemporary r&b
Fill Me In,0UzsDmdpw0Q14KU4hieQss,contemporary r&b
Heard It All Before,0xikWgPgYN9BEes0ieZ8Co,contemporary r&b
Rise,63nkNgHkmfgjElTEnCzKYU,contemporary r&b
Love,6uSa5iCMwPr10Ftpz8w09b,contemporary r&b
Promise,1X1KDnhTnb28tpJlgOV3lD,contemporary r&b
Missing You,0CmXXEwul09Kf8X68lPA5l,contemporary r&b
No More (Baby I'ma Do Right),5zn1hpm9N0ylKB7kOtpCw2,contemporary r&b
Stutter (feat. Mystikal) - Double Take Remix,7FWuzwapuKHTEyDJIcQOw3,contemporary r&b
Dilemma,0ARK753YaiJbpLUk7z5yIM,contemporary r&b
Foolish,6zMUIb4uce1CzpbjR3vMdN,contemporary r&b
U Got It Bad,7J41dYQolQJEtj3UmKLu5r,contemporary r&b
I Know What You Want (feat. Flipmode Squad),0YImOCkIJ2PWhCXaURCZnY,contemporary r&b
Rock The Boat,0qvlhVNm7L5IWabWF5hlEL,contemporary r&b
Dirrty (feat. Redman),59ZTxQo8rBycIXPLUIKvE2,contemporary r&b
One Love,2W5acFzXf5FrktecuD30Or,contemporary r&b
Hey Ma,2fE1hcjUxlLxXrZusTEJlq,contemporary r&b
Like I Love You,6W2Ef5Ph6ILTUAedoQ3QIv,contemporary r&b
Overprotected - Radio Edit,5p0KCAuu5nrHpTuAIhHdLw,contemporary r&b
Just a Friend 2002 - Radio Edit,2cxbxpHrND6i4uvUGVvC9J,contemporary r&b
Oops (Oh My) [feat. Missy Elliott],5Y0E3dOeynKuLDAXu0t0Bg,contemporary r&b
A Woman's Worth,0rimetBQIYXE3uMCbuXBUa,contemporary r&b
Girlfriend,6u5flhVFxKZrl9AApvf2SL,contemporary r&b
Luv U Better,7cGcyNd7NVvDIwCAQSbJLI,contemporary r&b
Crazy In Love (feat. Jay-Z),5IVuqXILoxVWvWEPm82Jxr,contemporary r&b
Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,0jiBVBJkLrlGLgrIVmd3VK,contemporary r&b
Rock Your Body,1AWQoqb9bSvzTjaLralEkT,contemporary r&b
Cry Me a River,7Lf7oSEVdzZqTA0kEDSlS5,contemporary r&b
21 Questions,41bIQPBE1lFN0mmw6Lmssz,contemporary r&b
I Know What You Want (feat. Flipmode Squad),0YImOCkIJ2PWhCXaURCZnY,contemporary r&b
03' Bonnie & Clyde,5ljCWsDlSyJ41kwqym2ORw,contemporary r&b
Superstar,5u5MpBnvJejW9dHPrfWEXZ,contemporary r&b
Beautiful,3TCauNPqFiniaYHBvEVoHG,contemporary r&b
Baby Boy (feat. Sean Paul),4WY3HyGXsWqjFRCVD6gnTe,contemporary r&b
Fighter,7nXq1vaZiz7PdbfojpPjW5,contemporary r&b
The Game of Love (feat. Michelle Branch) - Main / Radio Mix,41IShViF79gmulEkIHAjcb,contemporary r&b
How You Gonna Act Like That,3OUApyz3jDB3syGUNGqB1d,contemporary r&b
"Never Leave You (Uh Oooh, Uh Oooh)",1AjQE5MtP5jHQMyDepbvLI,contemporary r&b
So Gone,6BIcjFZIVDZxNAcofRFPx4,contemporary r&b
Can't Let You Go (feat. Mike Shorey & Lil' Mo),6lrRIfQDcikJ5y5DtyZPuJ,contemporary r&b
In Those Jeans,5ojJNnX5ND2gMGojPd3NiO,contemporary r&b
Miss You,0tr492xughUjNeqSDDD5nK,contemporary r&b
Dance With My Father,7snmvZMLdGGk3l9PcvoYSM,contemporary r&b
All I Have,1RQE33QW6K4YFKGPLHjbcC,contemporary r&b
Rain On Me,1YZBMqN8kHaaRPXpQTC3kb,contemporary r&b
"Bump, Bump, Bump (feat. P. Diddy)",6FTJuZtQZvmPPRFmrcno9J,contemporary r&b
If I Ain't Got You,3XVBdLihbNbxUwZosxcGuJ,contemporary r&b
My Boo,68vgtRHr7iZHpzGpon6Jlo,contemporary r&b
Burn,7z3N2W7Xz1t2G2sAO8wFVH,contemporary r&b
Slow Jamz,3A4cpTBPaIQdtPFb5JxtaX,contemporary r&b
Confessions Part II,7wBThXx7BGZHJJ3aN3OPvv,contemporary r&b
These Words,6MFQeWtk7kxWGydnJB2y36,contemporary r&b
Leave (Get Out),3DOxMCaNBNvnjSzpHUSjE3,contemporary r&b
