track_name,track_id,genre
Amazed,6qc34bnVOyqGDPni8H5W0U,country music
Picture (feat. Sheryl Crow),69j0KoPJuwpnbGWrfn7Yll,country music
Bless The Broken Road,4YjjNHtEsTX6Af4mCTupT5,country music
Live Like You Were Dying,7B1QliUMZv7gSTUGAfMRRD,country music
As Good As I Once Was,7G6l2FtQyRhQgYgut2I6i8,country music
Irreplaceable,6RX5iL93VZ5fKmyvNXvF1r,country music
Before He Cheats,0ZUo4YjG4saFnEJhdWp9Bt,country music
Big Green Tractor,0Ajm7DFmbGEURySKm7G2jf,country music
If I Die Young,4u26EevCNXMhlvE1xFBJwX,country music
Need You Now,7h70RTLbnhDyPGXjl3iEhh,country music
Stuck Like Glue,0JcKdUGNR7zI4jJDLyYXbi,country music
Springsteen,05ZACkzW8YbRq3eFgIfSNB,country music
If I Die Young,4u26EevCNXMhlvE1xFBJwX,country music
Just A Kiss,2OXidlnDThZR3zf36k6DVL,country music
Honey Bee,0gY2iq0xJPRoIB1PScKSw4,country music
Wake Me Up,0nrRP2bk19rLc0orkWPQk2,country music
Cruise,5BhsEd82G0Mnim0IUH6xkT,country music
Are You With Me - Radio Edit,2glGP8kEfACgJdZ86kWxhN,country music
H.O.L.Y.,0BCy325UZyR9z0t0uxwn2N,country music
You Make It Easy,2TXtN9MoV308Y0z1HvyTfV,country music
Shallow,2VxeLyX666F8uXCJ0dZF8B,country music
Lover,1dGr1c8CrMLDpV6mPbImSI,country music
Nothing Breaks Like a Heart (feat. Miley Cyrus),27rdGxbavYJeBphck5MZAF,country music
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,country music
I Remember Everything (feat. Kacey Musgraves),4KULAymBBJcPRpk1yO4dOG,country music
Nobody Gets Me,5Y35SjAfXjjG0sFQ3KOxmm,country music
Photograph,3hb2ScEVkGchcAQqrPLP0R,country music
