track_name,track_id,genre
Breathe,3y4LxiYMgDl4RethdzpmNe,country pop
I Hope You Dance,65B1tEOv5W294uCKbmEcFV,country pop
I Need You,046MBhhgQJJghnbgZCkaAR,country pop
The Way You Love Me,6vgN6KGstss0GnBbKlMNK9,country pop
I'm Already There,34Vn9nKfztyLco9lJazy4j,country pop
What Hurts The Most,4bVuIlGQBMWS7vIhcx8Ae4,country pop
Love Story,1D4PL9B8gOg78jiHg3FvBb,country pop
You Belong With Me,1GEBsLDvJGw7kviySRI6GX,country pop
The Climb,0V8FYVlBFuXXTIvRnMbZyS,country pop
Smile,4ZC8hXXqu2hPcDLw9QTdtQ,country pop
Stuck Like Glue,0JcKdUGNR7zI4jJDLyYXbi,country pop
Back To December,3DrjZArsPsoqbLzUZZV1Id,country pop
Mine,0dBW6ZsW8skfvoRfgeerBF,country pop
Just A Kiss,2OXidlnDThZR3zf36k6DVL,country pop
Cruise,5BhsEd82G0Mnim0IUH6xkT,country pop
Hey Brother,4lhqb6JvbHId48OUJGwymk,country pop
Die A Happy Man,5kNe7PE09d6Kvw5pAsx23n,country pop
"Honey, I'm Good.",4Tt6GiWS2V9sQjZjS2xjp2,country pop
Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,country pop
Simple,4L9Ds4mpD3SuYoWwFUlv16,country pop
Tequila,42fw0rxRO2xbesF6mJfd4Y,country pop
"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,country pop
One Thing Right,4hPpVbbakQNv8YTHYaOJP4,country pop
You should be sad,7lidXGPXPYLNThITAOTlkK,country pop
Love Story (Taylor’s Version),3CeCwYWvdfXbZLXFhBrbnf,country pop
Last Night,59uQI0PADDKeE6UZDTJEe8,country pop
Is It Over Now? (Taylor's Version) (From The Vault),1Iq8oo9XkmmvCQiGOfORiz,country pop
