track_name,track_id,genre
Move Bitch,0LyZGZEZcFqpeF8bAfx3v0,crunk
Soul Survivor,0Ss50OU9tCozI7JIywkv14,crunk
Snap Yo Fingers,6o3s08kk2fQI37vxGZDrJ1,crunk
U and Dat (feat. T. Pain & Kandi Girl),7g7M96UGiA7OR79H86gV4m,crunk
Smack That,2kQuhkFX7uSVepCD3h29g5,crunk
I Wanna Love You,0CXVjQI9wsqaGeIARkkpYc,crunk
Walk It Out,0JPntF36B28bSTUkjplyNd,crunk
Low (feat. T-Pain),0CAfXk7DXMnon4gLudAp7J,crunk
My Chick Bad,3bMNprrp2JDKZsGbiXpsJl,crunk
The Motto,4Kz4RdRCceaA9VgTqBhBfa,crunk
Turn Down for What,67awxiNHNyjMXhVgsHuIrs,crunk
My Type,5KBARWIxeMGkvUax9VtVC9,crunk
