track_name,track_id,genre
Danger! High Voltage - Soulchild Radio Mix,2VHfyWLlvCvbkIqtS5tqt3,dance-rock
Take Me Out,20I8RduZC2PWMWTDCZuuAN,dance-rock
What You Waiting For?,7bZsx7Zif6FIhrcZrh0LVm,dance-rock
Do You Want To,6WrnSlcN0dzTO80mVVbBto,dance-rock
Maneater,4wH4dJgrsxONID6KS2tDQM,dance-rock
Supermassive Black Hole,3lPr8ghNDBLc2uZovNyLs9,dance-rock
Paralyzer,28IEbk5a7twNTbUEvWslUb,dance-rock
Makes Me Wonder,1lHXlGlve5Zx8tXLhyjDwM,dance-rock
Paralyzer,28IEbk5a7twNTbUEvWslUb,dance-rock
Human,1sTsuZTdANkiFd7T34H3nb,dance-rock
See You Again,3AjyOYxBv8bByfBtG5o9dP,dance-rock
Lisztomania,7fmJGzyvOcbh6UANsH8Cp6,dance-rock
Tonight Tonight,2i0AUcEnsDm3dsqLrFWUCq,dance-rock
Sucker,22vgEDb5hykfaTwLuskFGD,dance-rock
Level of Concern,6xZ4Q2k2ompmDppyeESIY8,dance-rock
Prisoner (feat. Dua Lipa),5JqZ3oqF00jkT81foAFvqg,dance-rock
Prisoner (feat. Dua Lipa),5JqZ3oqF00jkT81foAFvqg,dance-rock
vampire,3k79jB4aGmMDUQzEwa46Rz,dance-rock
