track_name,track_id,genre
"My Neck, My Back (Lick It)",5r29mFrurlVBbqJzjr2XW6,dirty rap
Magic Stick,0aULRU35N9kTj6O1xMULRR,dirty rap
Slow Motion,6ihObRBTB8xdSH2mlERtOX,dirty rap
Candy Shop,5D2mYZuzcgjpchVY1pmTPh,dirty rap
U and Dat (feat. T. Pain & Kandi Girl),7g7M96UGiA7OR79H86gV4m,dirty rap
Money Maker,2JpUkUR0OsOlUUfm6iS8ic,dirty rap
Ayo Technology,36Hwcla06Q5BCr59CL0sBp,dirty rap
Lollipop,4P7VFiaZb3xrXoqGwZXC3J,dirty rap
Hypnotized (feat. Akon),3LN41NUdHkyNqQhi9gExMm,dirty rap
Down On Me,0x3TibRgnSqzkcwrqBd4iX,dirty rap
Love Me,2XHzzp1j4IfTNp1FTn7YFg,dirty rap
FEFE (feat. Nicki Minaj & Murda Beatz),43VXG87ajppI8mO1Mxo8vu,dirty rap
WAP (feat. Megan Thee Stallion),4Oun2ylbjFKMPTiaSbbCih,dirty rap
Body,0A1hoCfMLkiAgvhWkkucJa,dirty rap
The Seed (2.0),6HxweNytuEQdmGeVtZPZz3,dirty rap
