track_name,track_id,genre
Lady - Hear Me Tonight,49X0LAl6faAusYq02PRAY6,disco
The Time Is Now,6caODjFlH5iakvYJIrhATv,disco
Move Your Body - Gabry Ponte Original Radio Edit,6wPqK0huNYjdSQ5wqRCLvO,disco
One More Time,0DiWol3AO6WpXZgp0goxAV,disco
Lady Marmalade - Single Edit,0PSZ9G584Ve27GK6ThlY6P,disco
Ain't It Funny,6J8vBmsokURohC3UygqYOH,disco
Rock Your Body,1AWQoqb9bSvzTjaLralEkT,disco
Hung Up,3850dYVgOFIXJh5U4BFEWH,disco
DARE,4Hff1IjRbLGeLgFgxvHflk,disco
SexyBack (feat. Timbaland),0O45fw2L5vsWpdsOdXwNAR,disco
American Boy,6etwirSInfuJrSOlogS6Sh,disco
Release Me,4LiJE6pqgsTX3FtukW6bNh,disco
Treasure,55h7vJchibLdUkxdlX3fK7,disco
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],2Foc5Q5nqNiosCNqttzHof,disco
"Hold On, We're Going Home",2aSC2xhRxOLiiZZVjhbylH,disco
Lose Yourself to Dance (feat. Pharrell Williams),5CMjjywI0eZMixPeqNd75R,disco
22,6ce41JVa6KFaryfmC2bu2W,disco
Fine China,0yz2J4wsXFCjMjpJ6A74yV,disco
Sugar,2iuZJX9X9P0GKaE93xcPjk,disco
The Less I Know The Better,6K4t31amVTZDgR3sKmwUJJ,disco
Can't Feel My Face,22VdIZQfgXJea34mQxlt81,disco
In The Night,25KybV9BOUlvcnv7nN3Pyo,disco
Cake By The Ocean,76hfruVvmfQbw0eYn1nmeC,disco
Adventure of a Lifetime,69uxyAqqPIsUyTO8txoP2M,disco
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",5bcTCxgc7xVfSaMV3RuVke,disco
Sit Next to Me,4BdGO1CaObRD4La9l5Zanz,disco
Chained To The Rhythm,7qvxFz3JodM0A7xEM7k3YD,disco
no tears left to cry,2qT1uLXPVPzGgFOx4jtEuo,disco
Nothing Breaks Like a Heart (feat. Miley Cyrus),27rdGxbavYJeBphck5MZAF,disco
Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,disco
Say So,3Dv1eDb0MEgF93GpLXlucZ,disco
Dynamite,0v1x6rN6JHRapa03JElljE,disco
Rain On Me (with Ariana Grande),24ySl2hOPGCDcxBxFIqWBu,disco
Adore You,3jjujdWJ72nww5eGnfs2E7,disco
Midnight Sky,27ycaQnQAxaPiyeg3nr2aB,disco
Level of Concern,6xZ4Q2k2ompmDppyeESIY8,disco
Diamonds,5hvwx5i67IwnCkjl9VHkNv,disco
Levitating (feat. DaBaby),463CkQjx2Zk1yXoBuierM9,disco
Butter,3VqeTFIvhxu3DIe4eZVzGq,disco
Dynamite,4saklk6nie3yiGePpBwUoc,disco
Skate,2sXf2JdbB2GlNju00kw9WE,disco
CUFF IT,1xzi1Jcr7mEi9K2RfzLOqS,disco
Hold Me Closer,72yP0DUlWPyH8P7IoxskwN,disco
Flowers,0yLdNVWF3Srea0uzk55zFn,disco
Karma,7KokYm8cMIXCsGVmUvKtqf,disco
Dance The Night - From Barbie The Album,1vYXt7VSjH9JIM5oRRo7vA,disco
Romeo,4tI7eIbEUfInHS3sxfqkkr,disco
Toxic,6I9VzXrHxO9rA9A5euc8Ak,disco
I Don't Feel Like Dancin',13pyGLYmBjYgvOMIEivX2K,disco
Starry Eyed,14OF4JQOIm4hb0GfG5nfyF,disco
The Edge Of Glory,0JNdS1n0ifOP25XvhwAMgM,disco
Scream,12eMQUn2GzfsfsQLH53M19,disco
Cold Heart - PNAU Remix,6zSpb8dQRaw0M1dK8PBwQz,disco
Lavender Haze,5jQI2r1RdgtuT8S3iG8zFC,disco
Cold Heart - PNAU Remix,7rglLriMNBPAyuJOMGwi39,disco
Feather,2Zo1PcszsT9WQ0ANntJbID,disco
