track_name,track_id,genre
Uptown Girl - Radio Edit,2sFp6E7lNBbblJGmUtCfFH,doo-wop
Beautiful Girls,1hGy2eLcmC8eKx7qr1tOqx,doo-wop
Marry You,22PMfvdz35fFKYnJyMn077,doo-wop
All About That Bass,5jE48hhRu8E6zBDPRSkEq7,doo-wop
Dear Future Husband,3cU2wBxuV6nFiuf6PJZNlC,doo-wop
Lips Are Movin,6gj08XDlv9Duc2fPOxUmVD,doo-wop
You Don't Own Me (feat. G-Eazy),6KI1ZpZWYAJLvmVhCJz65G,doo-wop
Love On The Brain,5oO3drDxtziYU2H1X23ZIp,doo-wop
Made You Look,0QHEIqNKsMoOY5urbzN48u,doo-wop
Made You Look,0QHEIqNKsMoOY5urbzN48u,doo-wop
