track_name,track_id,genre
Satisfaction - Isak Original Extended,1n7omixiROWs5q6xpWiQuL,electro house
Let Me Think About It,4LjfIjS8iweFCPdKxLnEoV,electro house
Hot,7F1lHcpnTycnimQrCxDFI5,electro house
Take It Off,0WCiI0ddWiu5F2kSHgfw5S,electro house
Kickstarts,07WEDHF2YwVgYuBugi2ECO,electro house
One - Radio Edit,41KPpw0EZCytxNkmEMJVgr,electro house
Hey Baby (Drop It to the Floor) (feat. T-Pain),3rfhI32Il2hVRKDkuGeeen,electro house
Yeah 3x,2QtxlzvSBONjs1bDC34ixs,electro house
Sexy And I Know It,0obBFrPYkSoBJbvHfUIhkv,electro house
Changed the Way You Kiss Me - Radio Edit,1PAYgOjp1c9rrZ2kVQg2vN,electro house
Bounce (feat. Kelis) - Radio Edit,36cmM3MBMWWCFIiQ90U4J8,electro house
Feel So Close - Radio Edit,1gihuPhrLraKYrJMAEONyc,electro house
Die Young,7EQGXaVSyEDsCWKmUcfpLk,electro house
Where Have You Been,3tyPOhuVnt5zd5kGfxbCyL,electro house
212,7mDKRYiqejoHzP7dQGxLys,electro house
This Is Love,7IohFKIwrb75c4XaqX7WWo,electro house
Turn Up the Music,1RMRkCn07y2xtBip9DzwmC,electro house
Sexy And I Know It,0obBFrPYkSoBJbvHfUIhkv,electro house
We'll Be Coming Back (feat. Example),7B1Dl3tXqySkB8OPEwVvSu,electro house
Clarity,60wwxj6Dd9NJlirf84wr2c,electro house
Play Hard (feat. Ne-Yo & Akon),2QD4C6RRHgRNRAyrfnoeAo,electro house
Get Up (Rattle) [feat. Far East Movement] - Vocal Edit,3bu6Gu2lzm9VEoab1za8BM,electro house
Break Free,12KUFSHFgT0XCoiSlvdQi4,electro house
Stay The Night - Featuring Hayley Williams Of Paramore,2QtJA4gbwe1AcanB2p21aP,electro house
Wasted,7m3povhdMDLZwuEKak0l0n,electro house
Faded,698ItKASDavgwZ3WjaWjtz,electro house
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,electro house
After Hours,2p8IUWQDrpjuFltbdgLOag,electro house
