track_name,track_id,genre
Don't Cha,1gZ7i4qxXkHZb1r6eioaAP,electronic dance music
Lose Control (feat. Ciara & Fat Man Scoop),0UaMYEvWZi0ZqiDOoHU3YI,electronic dance music
Gimme More,6ic8OlLUNEATToEFU3xmaH,electronic dance music
Give It To Me,0wbDgMuAoy7O7pL3a69uZx,electronic dance music
All I Ever Wanted - Radio Edit,2PTvik6EqPAIYOclAB3SU8,electronic dance music
Piece of Me,2EvwLVrnYbCZEG6Kx5DCRy,electronic dance music
Right Round,3GpbwCm3YxiWDvy29Uo3vP,electronic dance music
Boom Boom Pow,3opVsyWVYEAFK9bJAG8Opa,electronic dance music
DJ Got Us Fallin' In Love (feat. Pitbull),4356Typ82hUiFAynbLYbPn,electronic dance music
Imma Be,0oJMv049q8hEkes9w0L1J4,electronic dance music
Give Me Everything (feat. Nayer),4QNpBfC0zvjKqPJcyqBy9W,electronic dance music
Just Can’t Get Enough,3JA9Jsuxr4xgHXEawAdCp4,electronic dance music
We Found Love,0U10zFw4GlBacOy9VDGfGL,electronic dance music
We R Who We R,3LUWWox8YYykohBbHUrrxd,electronic dance music
Levels - Radio Edit,5UqCQaDshqbIk3pkhy4Pjg,electronic dance music
We Found Love,0U10zFw4GlBacOy9VDGfGL,electronic dance music
Pound The Alarm,5kcE7pp02ezLZaUbbMv3Iq,electronic dance music
Beauty And A Beat,190jyVPHYjAqEaOGmMzdyk,electronic dance music
Sweet Nothing (feat. Florence Welch),24LS4lQShWyixJ0ZrJXfJ5,electronic dance music
I Need Your Love (feat. Ellie Goulding),05SBRd4fXgn8FX7bf8BCAE,electronic dance music
Work Bitch,3KliPMvk1EvFZu9cvkj8p1,electronic dance music
#thatPOWER,01TuObJVd7owWchVRuQbQw,electronic dance music
The Other Side,5FljCWR0cys07PQ9277GTz,electronic dance music
A Sky Full of Stars,0FDzzruyVECATHXKHFs9eJ,electronic dance music
Summer,6YUTL4dYpB9xZO5qExPf05,electronic dance music
Timber,3cHyrEgdyYRjgJKSOiOtcS,electronic dance music
Blame (feat. John Newman),07nH4ifBxUB4lZcsf44Brn,electronic dance music
Break Free,12KUFSHFgT0XCoiSlvdQi4,electronic dance music
Hideaway,51tUT1gHE30GQPhn1agudM,electronic dance music
Stay The Night - Featuring Hayley Williams Of Paramore,2QtJA4gbwe1AcanB2p21aP,electronic dance music
Lean On,01aTsQoKoeXofSTvKuunzv,electronic dance music
Outside (feat. Ellie Goulding),7MmG8p0F9N3C4AXdK6o6Eb,electronic dance music
One Last Time,7xoUc6faLbCqZO6fQEYprd,electronic dance music
Where Are Ü Now (with Justin Bieber),66hayvUbTotekKU3H4ta1f,electronic dance music
Five More Hours,3MOECVkNshqHYTPt5DZcdN,electronic dance music
Never Forget You,6hmhG1b4LEyNuashVvuIAo,electronic dance music
Light It Up (Remix),1qFSPn37zEeCyRiVpkW9dt,electronic dance music
This Is What You Came For,0azC730Exh71aQlOt9Zj3y,electronic dance music
Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU,electronic dance music
Faded,698ItKASDavgwZ3WjaWjtz,electronic dance music
Middle,0g5EKLgdKvNlln7TNqBByK,electronic dance music
Never Forget You,6hmhG1b4LEyNuashVvuIAo,electronic dance music
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),46NBoIAHrmR7qcUGCIFEjR,electronic dance music
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,electronic dance music
More Than You Know,6h5PAsRni4IRlxWr6uDPTP,electronic dance music
Paris,72jbDTw1piOOj770jWNeaG,electronic dance music
Stay,6uBhi9gBXWjanegOb2Phh0,electronic dance music
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,electronic dance music
All Night,0dXNQ8dckG4eYfEtq9zcva,electronic dance music
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,electronic dance music
FRIENDS,08bNPGLD8AhKpnnERrAc6G,electronic dance music
Wolves,0tBbt8CrmxbjRP0pueQkyU,electronic dance music
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,electronic dance music
Without Me,5p7ujcrUXASCNwRaWNHR1C,electronic dance music
Here With Me,5icOoE6VgqFKohjWWNp0Ac,electronic dance music
SOS (feat. Aloe Blacc),2x0RZdkZcD8QRI53XT4GI5,electronic dance music
One Thing Right,4hPpVbbakQNv8YTHYaOJP4,electronic dance music
Be Kind (with Halsey),3Z8FwOEN59mRMxDCtb8N0A,electronic dance music
Old Me,4POHzEwNTCYaIvqCUp3NnO,electronic dance music
Pink Venom,0skYUMpS0AcbpjcGsAbRGj,electronic dance music
"Shakira: Bzrp Music Sessions, Vol. 53",4nrPB8O7Y7wsOCJdgXkthe,electronic dance music
Starships,1oHNvJVbFkexQc0BpQp7Y4,electronic dance music
Gangnam Style (?????),03UrZgTINDqvnUMbbIMhql,electronic dance music
Wake Me Up,0nrRP2bk19rLc0orkWPQk2,electronic dance music
Clarity,60wwxj6Dd9NJlirf84wr2c,electronic dance music
Into You,63y6xWR4gXz7bnUGOk8iI6,electronic dance music
How You Like That,3vAn0qZzdyuHamcrpkfiX3,electronic dance music
Butter,3VqeTFIvhxu3DIe4eZVzGq,electronic dance music
Unholy (feat. Kim Petras),3nqQXoyQOWXiESFLlDF1hG,electronic dance music
