track_name,track_id,genre
Kids,1jJci4qxiYcOHhQR247rEU,electronic music
Number 1,3uRIGDDdT4tztwsOSLmjZg,electronic music
Man Down,454h9zAIuTe1eJyw9iTnj4,electronic music
E.T.,36ux3YuUsGTWPT8fXclS45,electronic music
Diamonds,1z9kQ14XBSN0r2v6fx4IdG,electronic music
You Know You Like It,57kR5SniQIbsbVoIjjOUDa,electronic music
Lean On,01aTsQoKoeXofSTvKuunzv,electronic music
The Hills,7fBv7CLKzipRk6EC6TWHOB,electronic music
You Know You Like It,57kR5SniQIbsbVoIjjOUDa,electronic music
All My Friends (feat. Tinashe & Chance the Rapper),6TaqooOXAEcijL6G1AWS2K,electronic music
PILLOWTALK,0PDUDa38GO8lMxLCRc4lL1,electronic music
Somebody Else,5hc71nKsUgtwQ3z52KEKQk,electronic music
All My Friends (feat. Tinashe & Chance the Rapper),6TaqooOXAEcijL6G1AWS2K,electronic music
Wolves,0tBbt8CrmxbjRP0pueQkyU,electronic music
Easier,2bjUEg4jBtKBlPdNrTAppI,electronic music
All For Us,76YSWx6L6FNsuaP6GWBb8P,electronic music
TELEKINESIS (feat. SZA & Future),1i9lZvlaDdWDPyXEE95aiq,electronic music
Ditto,3r8RuvgbX9s7ammBn07D3W,electronic music
Double Fantasy (with Future),4VMRsbfZzd3SfQtaJ1Wpwi,electronic music
