track_name,track_id,genre
Breaking the Habit,6n8TMVyFKoUmDc4apxceRD,electronic rock
Kids,1jJci4qxiYcOHhQR247rEU,electronic rock
So What,0JiY190vktuhSGN6aqJdrt,electronic rock
Shadow of the Day,0OYcEfskah1egYHjYRvbg1,electronic rock
Propane Nightmares,6tC2iHfUlzB2W4ntXXL2BH,electronic rock
New Divide,6Wx88Mv6b9ofjKMKkdwOJd,electronic rock
The Edge Of Glory,0JNdS1n0ifOP25XvhwAMgM,electronic rock
BURN IT DOWN,7oVEtyuv9NBmnytsCIsY5I,electronic rock
Princess of China,4HXOBjwv2RnLpGG4xWOO6N,electronic rock
Madness,0c4IEciLCDdXEhhKxj4ThA,electronic rock
Radioactive,4G8gkOterJn0Ywt6uhqbhp,electronic rock
Sail,7ueP5u2qkdZbIPN2YA6LR0,electronic rock
It's Not Living (If It's Not With You),3TgMcrV32NUKjEG2ujn9eh,electronic rock
Infinity,1SOClUWhOi8vHZYMz3GluK,electronic rock
Mr. Brightside,003vvx7Niy0yvhvHt4a68B,electronic rock
Shut Up and Dance,4kbj5MwxO1bq9wjT5g9HaA,electronic rock
