track_name,track_id,genre
Play,7fFCnttacpotkyhTOxKv14,electropop
Jump,77XwQEPxhY65b8rPszET9u,electropop
What You Waiting For?,7bZsx7Zif6FIhrcZrh0LVm,electropop
My Humps,19JdbdEwQI7bCxefMokZO8,electropop
Promiscuous,2gam98EZKrF9XuOkU13ApN,electropop
The Sweet Escape,66ZcOcouenzZEnzTJvoFmH,electropop
Gimme More,6ic8OlLUNEATToEFU3xmaH,electropop
Ayo Technology,36Hwcla06Q5BCr59CL0sBp,electropop
I Kissed A Girl,005lwxGU1tms6HGELIcUv9,electropop
Womanizer,4fixebDZAVToLbUCuEloa2,electropop
Disturbia,2VOomzT6VavJOGBeySqaMc,electropop
When I Grow Up,21pySLskKIKrhDziCX5ojQ,electropop
Lollipop,4P7VFiaZb3xrXoqGwZXC3J,electropop
Love Lockdown,1kxeWHF9PrCVZHvVskv8lg,electropop
Piece of Me,2EvwLVrnYbCZEG6Kx5DCRy,electropop
What You Got,3MldzywZOH4Uci6bq9noyJ,electropop
Right Round,3GpbwCm3YxiWDvy29Uo3vP,electropop
Bad Romance,0SiywuOBRcynK0uKGWdCnn,electropop
Down,6cmm1LMvZdB5zsCwX5BjqE,electropop
Walking On A Dream,5r5cp9IpziiIsR6b93vcnQ,electropop
Circus,7jk7gqyEonmVVYahZN5zhW,electropop
Just Dance,2x7MyWybabEz6Y6wvHuwGE,electropop
She Wolf,4cS2HQ6jK80vqdY9ofpztx,electropop
Fire Burning,2oENJa1T33GJ0w8dC167G4,electropop
Bulletproof,3kMrazSvILsgcwtidZd1Qd,electropop
If U Seek Amy,2hdy9Wt9qp7M7d0U3ossu2,electropop
DONTTRUSTME,5jzX4dWVQeBTtfBaXnMRt5,electropop
Let It Rock,6TrNRd98WksT9Kkmx9uj6R,electropop
Love Lockdown,1kxeWHF9PrCVZHvVskv8lg,electropop
Evacuate The Dancefloor - Radio Edit,360ZhWvMnyXKYFG9Mqsm89,electropop
Good Girls Go Bad (feat. Leighton Meester),7kMfu3KUydmrFVGEAhjtyl,electropop
Untouched,0KlahhzNb98zyN83Vwae0l,electropop
Naturally,1YaVmBh7EAeR54FIjuFcb5,electropop
Sweet Dreams,1FKxKGONukVFXWVJxAKmlz,electropop
Bad Romance,0SiywuOBRcynK0uKGWdCnn,electropop
TiK ToK,0HPD5WQqrq7wPWR7P7Dw1i,electropop
Dynamite,2CEgGE6aESpnmtfiZwYlbV,electropop
Down,6cmm1LMvZdB5zsCwX5BjqE,electropop
Cooler Than Me - Single Mix,2V4bv1fNWfTcyRJKmej6Sj,electropop
Teenage Dream,5jzKL4BDMClWqRguW5qZvh,electropop
OMG (feat. will.i.am),1bM50INir8voAkVoKuvEUI,electropop
Your Love Is My Drug,6vc2Jq2vaGu8z326kSrw92,electropop
Break Your Heart,7ElF5zxOwYP4qVSWVvse3W,electropop
Take It Off,0WCiI0ddWiu5F2kSHgfw5S,electropop
Blah Blah Blah (feat. 3OH!3),7lWUJpax919G4JdaFEVmCy,electropop
I Like It,7HacCTm33hZYYN8DXpCYuG,electropop
STARSTRUKK (feat. Katy Perry),1hBM2D1ULT3aeKuddSwPsK,electropop
Magic (feat. Rivers Cuomo),5uHYcK0nbEYgRaFTY5BqnP,electropop
Ridin' Solo,6BaxqcoEM9r3LXisTyJjST,electropop
Dancing On My Own - Radio Edit,7g13jf3zqlP5S68Voo5v9m,electropop
My First Kiss (feat. Ke$ha),17tDv8WA8IhqE8qzuQn707,electropop
Starry Eyed,14OF4JQOIm4hb0GfG5nfyF,electropop
Love You Like A Love Song,0laYHRpNTS6i8FXdupHkJ4,electropop
Tongue Tied,0GO8y8jQk1PkHzS31d699N,electropop
Just Can’t Get Enough,3JA9Jsuxr4xgHXEawAdCp4,electropop
Blow,3pYDZTJM2tVBUhIRifWVzI,electropop
You Make Me Feel... (feat. Sabi),16Of7eeW44kt0a1M0nitHM,electropop
Born This Way,6r2BECwMgEoRb5yLfp0Hca,electropop
Till the World Ends,38iU2jg98IZZEIJPrP7aWD,electropop
Motivation,6rbhWExtuchhpLC5fHnB8n,electropop
International Love (feat. Chris Brown),62zFEHfAYl5kdHYOivj4BC,electropop
Whistle,3bC1ahPIYt1btJzSSEyyrF,electropop
Good Time,1kPpge9JDLpcj15qgrPbYX,electropop
Troublemaker (feat. Flo Rida),6s8nHXTJVqFjXE4yVZPDHR,electropop
