track_name,track_id,genre
I Miss You,1AdYZ6X00nXmO613Y7GJOl,emo
Nobody's Home,0cZDC7uxNK8lqQ3GgyvCnD,emo
Boulevard of Broken Dreams,5GorCbAP4aL0EJ16frG2hd,emo
The Kill,0lP4HYLmvowOKdsQ7CVkuq,emo
"Sugar, We're Goin Down",2TfSHkHiFO4gRztVIkggkE,emo
Wake Me up When September Ends,3ZffCQKLFLUvYM59XKLbVm,emo
Dirty Little Secret,5ZdzNVOmCSp5HFLk0EgvJS,emo
Scars,3TAtUJc4Sj913Cs5gBUeu0,emo
"Dance, Dance",0a7BloCiNzLDD9qSQHh5m7,emo
Welcome to the Black Parade,5wQnmLuC1W7ATsArWACrgW,emo
I Write Sins Not Tragedies,4bPQs0PHn4xbipzdPfn6du,emo
Dirty Little Secret,5ZdzNVOmCSp5HFLk0EgvJS,emo
It Ends Tonight,5ZqNz8GXWpkb95f7aVxTA0,emo
Hey There Delilah,4RCWB3V8V0dignt99LZ8vH,emo
Thnks fr th Mmrs,3Zwu2K0Qa5sT6teCCHPShP,emo
Face Down,4wzjNqjKAKDU82e8uMhzmr,emo
"Dear Maria, Count Me In",0JJP0IS4w0fJx01EcrfkDe,emo
Misery Business,6SpLc7EXZIPpy0sVko0aoU,emo
The Great Escape,6GIrIt2M39wEGwjCQjGChX,emo
Shake It,5619Ojc6t9evEEs3B7Drhe,emo
Fall for You,2fywBLXK9GQi8YR8C8d3c4,emo
The Only Exception,7JIuqL4ZqkpfGKQhYlrirs,emo
Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,emo
BESO,609E1JCInJncactoMmkDon,emo
Teenagers,7j31rVgGX9Q2blT92VBEA0,emo
