track_name,track_id,genre
Better Off Alone,5XVjNRubJUW0iPhhSWpLCj,eurodance
L'Amour Toujours,52LJ3hyknOijCrE5gCD0rE,eurodance
Sandstorm,6Sy9BUbgFse0n0LPA5lwy5,eurodance
Gotta Tell You,1rj0XawWJNisX7SGYexowJ,eurodance
All The Things She Said,4bJygwUKrRgq1stlNXcgMg,eurodance
Dragostea Din Tei - Original Romanian Version,6YkHLUPBUttfwepwFgNNGX,eurodance
Everytime We Touch,5YJtMNWKe55yr49cyJgxva,eurodance
All I Ever Wanted - Radio Edit,2PTvik6EqPAIYOclAB3SU8,eurodance
Now You're Gone (feat. DJ Mental Theo's Bazzheadz) - Video Edit,5Nr1ZcH9PGTiQdGl9HCCS1,eurodance
I Know You Want Me (Calle Ocho),13plQdOoWSSXPRUSZc5FuM,eurodance
Number 1,3uRIGDDdT4tztwsOSLmjZg,eurodance
Only Girl (In The World),2ENexcMEMsYk0rVJigVD3i,eurodance
Stereo Love - Radio Edit,1AguHaKOuggrVTebp7cZEI,eurodance
S&M,7ySUcLPVX7KudhnmNcgY2D,eurodance
Glad You Came,5yDL13y5giogKs2fSNf7sj,eurodance
Mr. Saxobeat - Radio Edit,6HTprulGfeFVrLLvfi3t8a,eurodance
Till the World Ends,38iU2jg98IZZEIJPrP7aWD,eurodance
Changed the Way You Kiss Me - Radio Edit,1PAYgOjp1c9rrZ2kVQg2vN,eurodance
Die Young,7EQGXaVSyEDsCWKmUcfpLk,eurodance
Scream,12eMQUn2GzfsfsQLH53M19,eurodance
Dance Again (feat. Pitbull),2xnoPV3NLescauc0ZJ1MDZ,eurodance
Pound The Alarm,5kcE7pp02ezLZaUbbMv3Iq,eurodance
Cold Water,7zsXy7vlHdItvUSH8EwQss,eurodance
Without You (feat. Sandro Cavazza),6Pgkp4qUoTmJIPn7ReaGxL,eurodance
(It Goes Like) Nanana - Edit,23RoR84KodL5HWvUTneQ1w,eurodance
This Is What You Came For,0azC730Exh71aQlOt9Zj3y,eurodance
