track_name,track_id,genre
The Ketchup Song (Aserejé) - Spanglish Version,6UEfyhyfhYQsyipxOd95Ie,europop
Cry for You,1mvZErZBp7WZT3HfGBykao,europop
Cry for You,1mvZErZBp7WZT3HfGBykao,europop
Release Me,4LiJE6pqgsTX3FtukW6bNh,europop
Alors on danse - Radio Edit,2GYHyAoLWpkxLVa4oYTVko,europop
DJ Got Us Fallin' In Love (feat. Pitbull),4356Typ82hUiFAynbLYbPn,europop
Give Me Everything (feat. Nayer),4QNpBfC0zvjKqPJcyqBy9W,europop
Yeah 3x,2QtxlzvSBONjs1bDC34ixs,europop
Beautiful People,7mdNKXxia7AeSuJqjjA2rb,europop
Starships,1oHNvJVbFkexQc0BpQp7Y4,europop
We Are Never Ever Getting Back Together,0VwNdo84DaVYLIkbVO86ND,europop
Let Me Love You (Until You Learn To Love Yourself),4kte3OcW800TPvOVgrLLj8,europop
I'm Good (Blue),4uUG5RXrOk84mYEfFvj3cK,europop
I'm Good (Blue),4uUG5RXrOk84mYEfFvj3cK,europop
Tattoo,1DmW5Ep6ywYwxc2HMT5BG6,europop
Dragostea Din Tei - Original Romanian Version,6YkHLUPBUttfwepwFgNNGX,europop
