track_name,track_id,genre
Big Yellow Taxi,4O4dhPrjcw7GSLNafNydmb,folk music
Collide,6dwkFmLUz6hx2CZG2EqLol,folk music
The A Team,1VdZ0vKfR5jneCmWIUAMxK,folk music
Little Things,0TAmnCzOtqRfvA38DDLTjj,folk music
One Day / Reckoning Song (Wankelmut Remix) - Radio Edit,68rcszAg5pbVaXVvR7LFNh,folk music
Blame It on Me,2vzMWO0T008m86yDnXwkII,folk music
I See Fire,1fu5IQSRgPxJL2OTP7FVLW,folk music
Alaska,4HfLQJtVT1KiX1eVedDyTm,folk music
cardigan,4LEK9rD7TWIG4FCL1s27XC,folk music
Heather,4xqrdfXkTW4T0RauPLv3WA,folk music
traitor,5CZ40GBx1sQ9agT82CLQCT,folk music
traitor,5CZ40GBx1sQ9agT82CLQCT,folk music
The Joker And The Queen (feat. Taylor Swift),6N1K5OVVCopBjGViHs2IvP,folk music
