track_name,track_id,genre
Landslide,5hviCr3lgg6LY6noG6DPKs,folk rock
Big Yellow Taxi,4O4dhPrjcw7GSLNafNydmb,folk rock
Mandy,48jd71gnyIlLdXOYX2qJ6p,folk rock
Don't Tell Me,0dEQaNYfp5G7Sflek2Qnde,folk rock
Banana Pancakes,451GvHwY99NKV4zdKPRWmv,folk rock
The Only Exception,7JIuqL4ZqkpfGKQhYlrirs,folk rock
Little Lion Man,4B4vB3oB8csotplfoQcAd6,folk rock
Ho Hey,0W4Kpfp1w2xkY3PrV714B7,folk rock
"Gone, Gone, Gone",56sxN1yKg1dgOZXBcAHkJG,folk rock
Home,1EAgPzRbK9YmdOESSMUm6P,folk rock
50 Ways to Say Goodbye,2NniAhAtkRACaMeYt48xlD,folk rock
All I Want,0NlGoUyOJSuSHmngoibVAs,folk rock
Ho Hey,0W4Kpfp1w2xkY3PrV714B7,folk rock
Let Her Go,1KxwZYyzWNyZSRyErj2ojT,folk rock
Home,1EAgPzRbK9YmdOESSMUm6P,folk rock
I Will Wait,1fXiYSWmkKJfRKMegCkI11,folk rock
Story of My Life,4nVBt6MZDDP6tRVdQTgxJg,folk rock
Budapest,2ixsaeFioXJmMgkkbd4uj1,folk rock
Spirits,1VyiUi0mRnSKgtHa5dBoUd,folk rock
Fast Car,1SN1vSPsr4V4tIUTR3s8YW,folk rock
Ophelia,3d8y0t70g7hw2FOWl9Z4Fm,folk rock
Grace,0pEkK8MqbmGSX7fT8WLMbR,folk rock
Fast Car,1Lo0QY9cvc8sUB2vnIOxDT,folk rock
