track_name,track_id,genre
I'm Like A Bird,2aGw77pZqli064JiPuXYRi,folk-pop
Breakaway,61Qhe2mHSLhUE04QeK4lkD,folk-pop
Hey There Delilah,4RCWB3V8V0dignt99LZ8vH,folk-pop
I'm Yours,1EzrEOXmMH3G43AXT1y7pA,folk-pop
Starry Eyed,14OF4JQOIm4hb0GfG5nfyF,folk-pop
Lego House,5ubHAQtKuFfiG4FXfLP804,folk-pop
It's Time,6BtmXhTJMM9sBTHeYYASGz,folk-pop
Everything Has Changed,3Z1kZKYfRC8iRXnYeC5sCJ,folk-pop
Photograph,1HNkqx9Ahdgi1Ixy2xkKkL,folk-pop
Riptide,3JvrhDOgAt6p7K8mDyZwRd,folk-pop
Fast Car,1SN1vSPsr4V4tIUTR3s8YW,folk-pop
Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,folk-pop
Shallow,2VxeLyX666F8uXCJ0dZF8B,folk-pop
Afterglow,0E4Y1XIbs8GrAT1YqVy6dq,folk-pop
Fast Car,1Lo0QY9cvc8sUB2vnIOxDT,folk-pop
Slow Hands,2cOUlop2ZakjOKe4WinesN,folk-pop
