track_name,track_id,genre
Can't Stop,3ZOEytgrvLwQaqXreDs2Jx,funk rock
By the Way,1f2V8U1BiWaC9aJWmpOARe,funk rock
Danger! High Voltage - Soulchild Radio Mix,2VHfyWLlvCvbkIqtS5tqt3,funk rock
Supermassive Black Hole,3lPr8ghNDBLc2uZovNyLs9,funk rock
Paralyzer,28IEbk5a7twNTbUEvWslUb,funk rock
Paralyzer,28IEbk5a7twNTbUEvWslUb,funk rock
Misery,6KBYk8OFtod7brGuZ3Y67q,funk rock
The Adventures of Rain Dance Maggie,0PgNhIg5n0UAOBVn43b8b6,funk rock
Why'd You Only Call Me When You're High?,086myS9r57YsLbJpU0TgK9,funk rock
Ain't It Fun,1j8z4TTjJ1YOdoFEDwJTQa,funk rock
Ain't It Fun,1j8z4TTjJ1YOdoFEDwJTQa,funk rock
Feel Good Inc.,0d28khcov6AiegSCpG5TuT,funk rock
