track_name,track_id,genre
Lady Marmalade - Single Edit,0PSZ9G584Ve27GK6ThlY6P,funk
Hey Ya!,2PpruBYCo4H7WOBJ7Q2EwM,funk
DARE,4Hff1IjRbLGeLgFgxvHflk,funk
Deja Vu (feat. Jay-Z),423EcxblW9F4nnQkqcqMlK,funk
Ain't No Other Man,7huo2wvrCgRucUsjdSDLQV,funk
American Boy,6etwirSInfuJrSOlogS6Sh,funk
Forget You,7AqISujIaWcY3h5zrOqt5v,funk
Misery,6KBYk8OFtod7brGuZ3Y67q,funk
Lost,3GZD6HmiNUhxXYf8Gch723,funk
Treasure,55h7vJchibLdUkxdlX3fK7,funk
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],2Foc5Q5nqNiosCNqttzHof,funk
Lose Yourself to Dance (feat. Pharrell Williams),5CMjjywI0eZMixPeqNd75R,funk
Chocolate,44Ljlpy44mHvLJxcYUvTK0,funk
Classic,6FE2iI43OZnszFLuLtvvmg,funk
Sugar,2iuZJX9X9P0GKaE93xcPjk,funk
Uptown Funk (feat. Bruno Mars),32OlwWuMpZ6b0aN2RZOeMS,funk
The Less I Know The Better,6K4t31amVTZDgR3sKmwUJJ,funk
Can't Feel My Face,22VdIZQfgXJea34mQxlt81,funk
Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),3c8iiZGfEammKJuWTErE5x,funk
Adventure of a Lifetime,69uxyAqqPIsUyTO8txoP2M,funk
This Girl (Kungs Vs. Cookin' On 3 Burners),1A8j067qyiNwQnZT0bzUpZ,funk
Attention,5cF0dROlMOK5uNZtivgu50,funk
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,funk
24K Magic,6b8Be6ljOzmkOmFslEb23P,funk
I Feel It Coming,3dhjNA0jGA8vHBQ1VdD6vV,funk
Slow Hands,2cOUlop2ZakjOKe4WinesN,funk
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",5bcTCxgc7xVfSaMV3RuVke,funk
Self Care,5bJ1DrEM4hNCafcDd1oxHx,funk
How Long,6wmAHw1szh5RCKSRjiXhPe,funk
Boy With Luv (feat. Halsey),4a9tbd947vo9K8Vti9JwcI,funk
Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,funk
Adore You,3jjujdWJ72nww5eGnfs2E7,funk
Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,funk
Rumors (feat. Cardi B),6KgtcmCF9Ky68XC7ezxl3s,funk
Skate,2sXf2JdbB2GlNju00kw9WE,funk
About Damn Time,1PckUlxKqWQs3RlWXVBLw3,funk
Big Energy,4pi1G1x8tl9VfdD9bL3maT,funk
Get the Party Started,02jcEwywffn3Tsb48fXmlW,funk
More Than A Woman,4x2YdtTppdbL4kHPOjaunq,funk
What You Waiting For?,7bZsx7Zif6FIhrcZrh0LVm,funk
Makes Me Wonder,1lHXlGlve5Zx8tXLhyjDwM,funk
Style,4lIxdJw6W3Fg4vUIYCB0S5,funk
Cake By The Ocean,76hfruVvmfQbw0eYn1nmeC,funk
Levitating (feat. DaBaby),463CkQjx2Zk1yXoBuierM9,funk
As It Was,4LRPiXqCikLlN15c3yImP7,funk
Flowers,0yLdNVWF3Srea0uzk55zFn,funk
Dance The Night - From Barbie The Album,1vYXt7VSjH9JIM5oRRo7vA,funk
As It Was,4Dvkj6JhhA12EX05fT7y2e,funk
Attention,11xC6P3iKYpFThT6Ce1KdG,funk
