track_name,track_id,genre
The Next Episode,4LwU4Vp6od3Sb08CsP99GC,gangsta rap
In Da Club,4RY96Asd9IefaL3X4LOLZ8,gangsta rap
X Gon' Give It To Ya,1zzxoZVylsna2BQB65Ppcb,gangsta rap
P.I.M.P.,2D1hlMwWWXpkc3CZJ5U351,gangsta rap
Wanksta,6rpNe6gSkmiYW6BfSFATi5,gangsta rap
How We Do,4PmMVdIFpJTB9WQbmILf4p,gangsta rap
Outta Control - Remix,7BKi4ZcyMBXeAvJ1OPxhdV,gangsta rap
Put On,3OePAyHePd68TTKmy2hjq0,gangsta rap
m.A.A.d city,439TlnnznSiBbQbgXiBqAd,gangsta rap
Hot N*gga,19gEmPjfqSZT0ulDRfjl0m,gangsta rap
CoCo,2JI71GHwq2LN8mtq3iCLYo,gangsta rap
TKN (feat. Travis Scott),4w47S36wQGBhGg073q3nt7,gangsta rap
