track_name,track_id,genre
Shalala Lala,4pV49P2v3sxI0XYjUTmOl1,glam rock
Teenagers,7j31rVgGX9Q2blT92VBEA0,glam rock
Grace Kelly,7dzUZec5MnWMyQnk5klnKR,glam rock
So What,0JiY190vktuhSGN6aqJdrt,glam rock
Uprising,4VqPOruhp5EdPBeR92t6lQ,glam rock
Electric Love,2GiJYvgVaD2HtM8GqD9EgQ,glam rock
I Kissed A Girl,005lwxGU1tms6HGELIcUv9,glam rock
Centuries,04aAxqtGp5pv12UXAg4pkq,glam rock
Prisoner (feat. Dua Lipa),5JqZ3oqF00jkT81foAFvqg,glam rock
Prisoner (feat. Dua Lipa),5JqZ3oqF00jkT81foAFvqg,glam rock
