track_name,track_id,genre
Higher,1ZozJfi8u9cO2Ob8KwiwNT,hard rock
How You Remind Me,0gmbgwZ8iqyMPmXefof8Yf,hard rock
My Sacrifice,2VSbEXqs6NbNiZSTcHlIDR,hard rock
Bring Me To Life,0COqiPhxzoWICwFCS4eZcp,hard rock
I Hate Everything About You,0M955bMOoilikPXwKLYpoi,hard rock
Like a Stone,3YuaBvuZqcwN3CEAyyoaei,hard rock
I Believe in a Thing Called Love,756CJtQRFSxEx9jV4P9hpA,hard rock
Boulevard of Broken Dreams,5GorCbAP4aL0EJ16frG2hd,hard rock
The Kill,0lP4HYLmvowOKdsQ7CVkuq,hard rock
Best of You,5FZxsHWIvUsmSK1IAvm2pp,hard rock
Call Me When You're Sober,663Karu2rvKLdnY0eo1n3M,hard rock
What I've Done,18lR4BzEs7e3qzc0KVkTpU,hard rock
The Pretender,7x8dCjCr0x6x2lXKujYD34,hard rock
Face Down,4wzjNqjKAKDU82e8uMhzmr,hard rock
Fake It,4eAwB5pnKFTmsgc3zWoYO0,hard rock
U + Ur Hand,1iOJQhxKSJ7dg3Dk03yPnl,hard rock
Addicted,3pxCXv0NACYfYnLjFcQW5D,hard rock
Monster,2UREu1Y8CO4jXkbvqAtP7g,hard rock
Second Chance,0CwYG1UnRmOx8Q1EzElCIL,hard rock
BURN IT DOWN,7oVEtyuv9NBmnytsCIsY5I,hard rock
Berzerk,6Xk7PnitV9jCRorWt2LiVZ,hard rock
I WANNA BE YOUR SLAVE,4pt5fDVTg5GhEvEtlz9dKk,hard rock
SKIN OF MY TEETH,1O9AseW10CTi6nBLoj0O6K,hard rock
In the End,60a0Rd6pjrkxjPbaKzXjfq,hard rock
It's Been Awhile,25CMmGsl22APKhfuj4Tp7j,hard rock
In the End,60a0Rd6pjrkxjPbaKzXjfq,hard rock
By the Way,1f2V8U1BiWaC9aJWmpOARe,hard rock
Don't Tell Me,0dEQaNYfp5G7Sflek2Qnde,hard rock
Welcome to the Black Parade,5wQnmLuC1W7ATsArWACrgW,hard rock
Paralyzer,28IEbk5a7twNTbUEvWslUb,hard rock
Misery Business,6SpLc7EXZIPpy0sVko0aoU,hard rock
Paralyzer,28IEbk5a7twNTbUEvWslUb,hard rock
