track_name,track_id,genre
Maria Maria (feat. The Product G&B),3XKIUb7HzIF1Vu9usunMzc,hip hop music
Against All Odds (Take A Look at Me Now) - Mariah Only,6PS1YRjdJ5Muakh2oh0UB2,hip hop music
Ms. Jackson,0I3q5fE6wg7LIfHGngUTnV,hip hop music
Family Affair,3aw9iWUQ3VrPQltgwvN9Xu,hip hop music
Ride Wit Me,3Gf5nttwcX9aaSQXRWidEZ,hip hop music
Let Me Blow Ya Mind,3RmKpob8xzv1pzHEQrMJah,hip hop music
I'm Real (feat. Ja Rule) - Murder Remix,6MLsahMK3VvH9NUwXOktdS,hip hop music
I'm a Thug,6j2aNuhJJUnRj6UHcvn5PI,hip hop music
Until The End Of Time,5avQSAKB1dOEeIQBqV4jgW,hip hop music
Music (feat. Marvin Gaye),6IFOw9Ck9mWHRQgw6QrPYx,hip hop music
One Minute Man (feat. Ludacris),0jG92AlXau21qgCQRxGLic,hip hop music
No More (Baby I'ma Do Right),5zn1hpm9N0ylKB7kOtpCw2,hip hop music
Stutter (feat. Mystikal) - Double Take Remix,7FWuzwapuKHTEyDJIcQOw3,hip hop music
Hot In Herre,04KTF78FFg8sOHC1BADqbY,hip hop music
I Know What You Want (feat. Flipmode Squad),0YImOCkIJ2PWhCXaURCZnY,hip hop music
Dirrty (feat. Redman),59ZTxQo8rBycIXPLUIKvE2,hip hop music
Oh Boy,4X1odWLrLSSahaK6Hi15AA,hip hop music
Still Fly,563vSy3HB5NHxel1VGQCW6,hip hop music
Hey Ma,2fE1hcjUxlLxXrZusTEJlq,hip hop music
More Than A Woman,4x2YdtTppdbL4kHPOjaunq,hip hop music
"My Neck, My Back (Lick It)",5r29mFrurlVBbqJzjr2XW6,hip hop music
Rollout (My Business),4SyadrABZJIjeND1HPJS31,hip hop music
Girlfriend,6u5flhVFxKZrl9AApvf2SL,hip hop music
Luv U Better,7cGcyNd7NVvDIwCAQSbJLI,hip hop music
Lose Yourself,5Z01UMMf7V1o0MzF86s6WJ,hip hop music
Sing For The Moment,3CpoeW0cZSDzIRv5z34F87,hip hop music
21 Questions,41bIQPBE1lFN0mmw6Lmssz,hip hop music
I Know What You Want (feat. Flipmode Squad),0YImOCkIJ2PWhCXaURCZnY,hip hop music
The Seed (2.0),6HxweNytuEQdmGeVtZPZz3,hip hop music
So Gone,6BIcjFZIVDZxNAcofRFPx4,hip hop music
Stand Up,2CtCwQhY0ZLvr8L2l8Bo6e,hip hop music
Can't Let You Go (feat. Mike Shorey & Lil' Mo),6lrRIfQDcikJ5y5DtyZPuJ,hip hop music
Wanksta,6rpNe6gSkmiYW6BfSFATi5,hip hop music
All I Have,1RQE33QW6K4YFKGPLHjbcC,hip hop music
Excuse Me Miss,0ZHu7jkSSrT0eK4OxuG4O5,hip hop music
"Bump, Bump, Bump (feat. P. Diddy)",6FTJuZtQZvmPPRFmrcno9J,hip hop music
All Falls Down,5SkRLpaGtvYPhw02vZhQQ9,hip hop music
Through The Wire,4mmkhcEm1Ljy1U9nwtsxUo,hip hop music
Jesus Walks,5g1vtHqi9uV7xtYeCcFOBx,hip hop music
