track_name,track_id,genre
Get Ur Freak On,6zsk6uF3MxfIeHPlubKBvR,hip hop
Beautiful,4675yUu8AUbE72T94BkLCD,hip hop
Gold Digger,1PS1QMdUqOal0ai3Gt7sDQ,hip hop
Say Hey (I Love You) (feat. Cherine Tanya Anderson),383B8ksM58jbV3HbiRJo0K,hip hop
Say Aah (feat. Fabolous),2fQ6sBFWaLv2Gxos4igHLy,hip hop
In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,hip hop
Roses - Imanbek Remix,2Wo6QQD1KMDWeFkkjLqwx5,hip hop
MONEY,7hU3IHwjX150XLoTVmjD0q,hip hop
Hurricane,0RbW8kWozrVSIGb4V13o0o,hip hop
Vegas (From the Original Motion Picture Soundtrack ELVIS),0hquQWY3xvYqN4qtiquniF,hip hop
Barbie World (with Aqua) [From Barbie The Album],741UUVE2kuITl0c6zuqqbO,hip hop
Search & Rescue,7aRCf5cLOFN1U7kvtChY1G,hip hop
Creepin' (with The Weeknd & 21 Savage),2dHHgzDwk4BJdRwy9uXhTO,hip hop
