track_name,track_id,genre
Flashing Lights,5TRPicyLGbAF2LGBFbHGvO,hip house
Boom Boom Pow,3opVsyWVYEAFK9bJAG8Opa,hip house
Memories (feat. Kid Cudi),4dTaAiV9xFFCxnPur9c9yL,hip house
Club Can't Handle Me (feat. David Guetta),6ebkx7Q5tTxrCxKq4GYj0Y,hip house
Party Rock Anthem,0IkKz2J93C94Ei4BvDop7P,hip house
Give Me Everything (feat. Nayer),4QNpBfC0zvjKqPJcyqBy9W,hip house
Hey Baby (Drop It to the Floor) (feat. T-Pain),3rfhI32Il2hVRKDkuGeeen,hip house
Where Them Girls At (feat. Nicki Minaj & Flo Rida),63rbP24OzfaQCJjsHWZXnY,hip house
Wild Ones (feat. Sia),1NpW5kyvO4XrNJ3rnfcNy3,hip house
Whistle,3bC1ahPIYt1btJzSSEyyrF,hip house
Good Feeling,2LEF1A8DOZ9wRYikWgVlZ8,hip house
212,7mDKRYiqejoHzP7dQGxLys,hip house
This Is Love,7IohFKIwrb75c4XaqX7WWo,hip house
Don't Stop the Party (feat. TJR),3Tu7uWBecS6GsLsL8UONKn,hip house
Play Hard (feat. Ne-Yo & Akon),2QD4C6RRHgRNRAyrfnoeAo,hip house
Get Up (Rattle) [feat. Far East Movement] - Vocal Edit,3bu6Gu2lzm9VEoab1za8BM,hip house
Drinking from the Bottle (feat. Tinie Tempah),1oHxIPqJyvAYHy0PVrDU98,hip house
Fancy,3oiMJQAWVaxSubJ7b2VUtX,hip house
La Jumpa,2mnXxnrX5vCGolNkaFvVeM,hip house
Changed the Way You Kiss Me - Radio Edit,1PAYgOjp1c9rrZ2kVQg2vN,hip house
Fetish (feat. Gucci Mane),4lnAN2S1fcI0SjxEbksZVr,hip house
