track_name,track_id,genre
Party Up,0LWkaEyQRkF0XAms8Bg1fC,hip-hop
Butterfly,4BggEwLhGfrbrl7JBhC8EC,hip-hop
Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,4SnTf4ixVZCfQtxHNhky0T,hip-hop
Get Busy,6bK9BH9Ts8Gj5JFvnQkzak,hip-hop
03' Bonnie & Clyde,5ljCWsDlSyJ41kwqym2ORw,hip-hop
Yeah! (feat. Lil Jon & Ludacris),5rb9QrpfcKFHM1EUbSIurX,hip-hop
Drop It Like It's Hot,2NBQmPrOEEjA8VbeWOQGxO,hip-hop
Slow Jamz,3A4cpTBPaIQdtPFb5JxtaX,hip-hop
Lean Back,2Ozc0me9PV5vlt8cokwdvI,hip-hop
Bring Em Out,3CcvahnsiArpTHYQEWV2Au,hip-hop
Feel Good Inc.,0d28khcov6AiegSCpG5TuT,hip-hop
Hate It Or Love It,2wGSgTmgSF3xjRrHkTc25R,hip-hop
Numb / Encore,5sNESr6pQfIhL3krM8CtZn,hip-hop
How We Do,4PmMVdIFpJTB9WQbmILf4p,hip-hop
Drop It Like It's Hot,2NBQmPrOEEjA8VbeWOQGxO,hip-hop
Hollaback Girl,0LzrhCZFXW94Y8nwtTuRlw,hip-hop
Lose Control (feat. Ciara & Fat Man Scoop),0UaMYEvWZi0ZqiDOoHU3YI,hip-hop
Like You (feat. Ciara),3jEqrIfwKO0M8ALu3TGilF,hip-hop
My Humps,19JdbdEwQI7bCxefMokZO8,hip-hop
Don't Phunk With My Heart,4MtDnnAJ1AtWit10FRmZdW,hip-hop
It's Like That,7zL9xrz5krsuC6qVNluQQw,hip-hop
SexyBack (feat. Timbaland),0O45fw2L5vsWpdsOdXwNAR,hip-hop
Touch The Sky,2dxjKgT0li4qBI3QwuN9Ih,hip-hop
Pump It,6btyEL6NwUa97Nex9cZFvo,hip-hop
Touch It,3HVJbdz0V402U5YggQK4Ao,hip-hop
Stronger,0j2T0R9dR9qdJYsB7ciXhf,hip-hop
Give It To Me,0wbDgMuAoy7O7pL3a69uZx,hip-hop
Kiss Kiss (feat. T-Pain),3wKKkGVn7cVSfgPeYYIiXG,hip-hop
Shawty (feat. T Pain),0mYoKqA23wUUj7BTEgNzjg,hip-hop
On the Hotline - Amended Version,1zyqZONW985Cs4osz9wlsu,hip-hop
Dangerous,4NOZ35Dhucr6UlVyLOtktd,hip-hop
Kiss Kiss (feat. T-Pain),3wKKkGVn7cVSfgPeYYIiXG,hip-hop
I Luv Your Girl,3wkNK8tJZ2stygNJm8RCRD,hip-hop
Empire State Of Mind,2igwFfvr1OAGX9SKDCPBwO,hip-hop
Boom Boom Pow,3opVsyWVYEAFK9bJAG8Opa,hip-hop
Love The Way You Lie,15JINEqzVMv3SvJTAXAKED,hip-hop
How Low,1WtTLtofvcjQM3sXSMkDdX,hip-hop
Super Bass,3hlksXnvbKogFdPbpO9vel,hip-hop
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),3hsmbFKT5Cujb5GQjqEU39,hip-hop
I'm On One,608a1wIsSd5KzMEqm1O7w3,hip-hop
Swimming Pools (Drank) - Extended Version,5ujh1I7NZH5agbwf7Hp8Hc,hip-hop
Team,3G6hD9B2ZHOsgf4WfNu7X1,hip-hop
Dark Horse,4jbmgIyjGoXjY01XxatOx6,hip-hop
Team,3G6hD9B2ZHOsgf4WfNu7X1,hip-hop
Drunk in Love (feat. Jay-Z),6jG2YzhxptolDzLHTGLt7S,hip-hop
Show Me (feat. Chris Brown),4q6dqyGM25sKFU8nYAGRe4,hip-hop
679 (feat. Remy Boyz),5NQbUaeTEOGdD6hHcre0dZ,hip-hop
Post to Be (feat. Chris Brown & Jhene Aiko),0fgZUSa7D7aVvv3GfO0A1n,hip-hop
Bad Blood,6xsEAm6w9oMQYYg3jkEkMT,hip-hop
2 Phones,0wdKiSBUT7aZkXUIdJWcwC,hip-hop
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,hip-hop
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,hip-hop
DNA.,6HZILIRieu8S0iqY8kIKhj,hip-hop
All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,hip-hop
Let You Down,52okn5MNA47tk87PeZJLEL,hip-hop
Psycho (feat. Ty Dolla $ign),3swc6WTsr7rl9DqQKQA55C,hip-hop
Stir Fry,2UVbBKQOdFAekPTRsnkzcf,hip-hop
7 rings,6ocbgoVGwYJhOv1GgI9NsF,hip-hop
Wow.,7xQAfvXzm3AkraOtGPWIZg,hip-hop
Goodbyes (feat. Young Thug),0t3ZvGKlmYmVsDzBJAXK8C,hip-hop
ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,hip-hop
WAP (feat. Megan Thee Stallion),4Oun2ylbjFKMPTiaSbbCih,hip-hop
Paint The Town Red,2IGMVunIBsBLtEQyoI1Mu7,hip-hop
TELEKINESIS (feat. SZA & Future),1i9lZvlaDdWDPyXEE95aiq,hip-hop
Players,6UN73IYd0hZxLi8wFPMQij,hip-hop
