track_name,track_id,genre
Skinny Love,3B3eOgLJSqPEA0RfboIQVM,indie folk
Little Lion Man,4B4vB3oB8csotplfoQcAd6,indie folk
Skinny Love,4RL77hMWUq35NYnPLXBpih,indie folk
L.I.F.E.G.O.E.S.O.N.,6y468DyY1V67RBNCwzrMrC,indie folk
Ho Hey,0W4Kpfp1w2xkY3PrV714B7,indie folk
Dirty Paws,5g7rJvWYVrloJZwKiShqlS,indie folk
Little Talks,2ihCaVdNZmnHZWt0fvAM7B,indie folk
Ho Hey,0W4Kpfp1w2xkY3PrV714B7,indie folk
I Will Wait,1fXiYSWmkKJfRKMegCkI11,indie folk
High Hopes,6KkyuDhrEhR5nJVKtv9mCf,indie folk
Riptide,3JvrhDOgAt6p7K8mDyZwRd,indie folk
Best Day Of My Life,5Hroj5K7vLpIG4FNCRIjbP,indie folk
Lover,1dGr1c8CrMLDpV6mPbImSI,indie folk
Solar Power,3KdoeNlEN0BoAKWzaRLNZa,indie folk
Your Power,5qNh5WtzMbfpSj2jLlBkoD,indie folk
