track_name,track_id,genre
Breathe Me,2Bo0hh0yoQReC4reJav5DT,indie pop
Dog Days Are Over,1YLJVmuzeM2YSUkCCaTNUB,indie pop
Intro,5VfEuwErhx6X4eaPbyBfyu,indie pop
Fireflies,3DamFFqW32WihKkTVlwTYQ,indie pop
Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,indie pop
Tongue Tied,0GO8y8jQk1PkHzS31d699N,indie pop
We Are Young (feat. Janelle Monáe),7a86XRg84qjasly9f6bPSD,indie pop
Dirty Paws,5g7rJvWYVrloJZwKiShqlS,indie pop
50 Ways to Say Goodbye,2NniAhAtkRACaMeYt48xlD,indie pop
Take a Walk,4Sfa7hdVkqlM8UW5LsSY3F,indie pop
Another Love,3JvKfv6T31zO0ini8iNItO,indie pop
Riptide,3JvrhDOgAt6p7K8mDyZwRd,indie pop
Stolen Dance,0ZfByLXCeKchuj7zi1CJ0S,indie pop
Geronimo,0qt5f5EL92o8Snzopsv0en,indie pop
Cool Kids,13P5rwmk2EsoFRIz9UCeh9,indie pop
Daddy Issues,5E30LdtzQTGqRvNd7l6kG5,indie pop
Geronimo,0qt5f5EL92o8Snzopsv0en,indie pop
Don't Let Me Down,1i1fxkWeaMmKEB4T7zqbzK,indie pop
Hear Me Now,39cmB3ZoTOLwOTq7tMNqKa,indie pop
Sit Next to Me,4BdGO1CaObRD4La9l5Zanz,indie pop
we fell in love in october,6IPwKM3fUUzlElbvKw2sKl,indie pop
you broke me first,45bE4HXI0AwGZXfZtMp8JR,indie pop
Heather,4xqrdfXkTW4T0RauPLv3WA,indie pop
deja vu,61KpQadow081I2AsbeLcsb,indie pop
traitor,5CZ40GBx1sQ9agT82CLQCT,indie pop
traitor,5CZ40GBx1sQ9agT82CLQCT,indie pop
Ojitos Lindos,3k3NWokhRRkEPhCzPmV8TW,indie pop
Here With Me,78Sw5GDo6AlGwTwanjXbGh,indie pop
drivers license,7lPN2DXiMsVn7XUKtOW1CS,indie pop
bad idea right?,2i8f4VnnBjy0yDqH2C452a,indie pop
