track_name,track_id,genre
Last Nite,3SUusuA9jH1v6PVwtYMbdv,indie rock
Reptilia,57Xjny5yNzAcsxnusKmAfA,indie rock
Take Me Out,20I8RduZC2PWMWTDCZuuAN,indie rock
I Bet You Look Good On The Dancefloor,3DQVgcqaP3iSMbaKsd57l5,indie rock
Do You Want To,6WrnSlcN0dzTO80mVVbBto,indie rock
When The Sun Goes Down,2zzLRQ78kKfPTx8FJQCdC2,indie rock
Naive,2RUhtNBh43RtSg0WBPPq3m,indie rock
Chelsea Dagger,3ItzRpwvKtkDSNdRSjXu7Z,indie rock
Golden Skans,6BqWhxll86CGGE6WxgdRqG,indie rock
Ruby,2fAIfPLrPUTW1AmJRR428Q,indie rock
Lisztomania,7fmJGzyvOcbh6UANsH8Cp6,indie rock
Sweet Disposition,5RoIXwyTCdyUjpMMkk4uPd,indie rock
What You Know,3GBApU0NuzH4hKZq4NOSdA,indie rock
We Are Young (feat. Janelle Monáe),7a86XRg84qjasly9f6bPSD,indie rock
Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst,indie rock
High Hopes,6KkyuDhrEhR5nJVKtv9mCf,indie rock
Geronimo,0qt5f5EL92o8Snzopsv0en,indie rock
First,3omXshBamrREltcf24gYDC,indie rock
Daddy Issues,5E30LdtzQTGqRvNd7l6kG5,indie rock
Unsteady,7lGKEWMXVWWTt3X71Bv44I,indie rock
Geronimo,0qt5f5EL92o8Snzopsv0en,indie rock
Let It Go,13HVjjWUZFaWilh2QUJKsP,indie rock
Spirits,1VyiUi0mRnSKgtHa5dBoUd,indie rock
Hymn for the Weekend,3RiPr603aXAoi4GHyXx0uy,indie rock
Unsteady,7lGKEWMXVWWTt3X71Bv44I,indie rock
cardigan,4LEK9rD7TWIG4FCL1s27XC,indie rock
I Wanna Be Yours,5XeFesFbtLpXzIVDNQP22n,indie rock
Another Love,3JvKfv6T31zO0ini8iNItO,indie rock
