track_name,track_id,genre
Show Me the Meaning of Being Lonely,3BsaRV5QIulYz2lV9WWa8T,latin pop
She Bangs - English Version,1uPrIHgYztXSkkcts9jet8,latin pop
"Whenever, Wherever",2lnzGkdtDj5mtlcOW2yRtG,latin pop
Ain't It Funny,6J8vBmsokURohC3UygqYOH,latin pop
Hero,24Gxm7Eh7tO83E26LG0CsY,latin pop
La Camisa Negra,2EM9zpAc7PVeoAydmbfVIL,latin pop
Hips Don't Lie (feat. Wyclef Jean),3ZFTkvIE7kyPt6Nu3PEa7V,latin pop
Beautiful Liar,2HWWNoWEEEECwZhAiLg7ib,latin pop
Te Amo,4YYHgF9dWyVSor0GtrBzdf,latin pop
Bailando - Spanish Version,32lm3769IRfcnrQV11LO4E,latin pop
DUELE EL CORAZON (feat. Wisin),6YZdkObH88npeKrrkb8Ggf,latin pop
Despacito,6habFhsOp2NvshLv26DqMb,latin pop
Wild Thoughts (feat. Rihanna & Bryson Tiller),45XhKYRRkyeqoW3teSOkCM,latin pop
SUBEME LA RADIO,7nKBxz47S9SD79N086fuhn,latin pop
Señorita,6v3KW9xbzN5yKLt9YKDYA2,latin pop
Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,latin pop
DÁKITI,47EiUVwUp4C9fGccaPuUCS,latin pop
Tusa,7k4t7uLgtOxPwTpFmtJNTY,latin pop
telepatía,6tDDoYIxWvMLTdKpjFkc1B,latin pop
DÁKITI,4MzXwWMhyBbmu6hOcLVD49,latin pop
Bam Bam (feat. Ed Sheeran),2DB4DdfCFMw1iaR6JaR03a,latin pop
We Don't Talk About Bruno,52xJxFP6TqMuO4Yt0eOkMz,latin pop
