track_name,track_id,genre
The Riddle,0ZqveF2rEFlz2oqF2xrriP,new wave music
It's My Life,2fOxxLz9JVe53itq6pfBak,new wave music
Mr. Brightside,003vvx7Niy0yvhvHt4a68B,new wave music
Mad World,3JOVTQ5h8HGFnDdp4VT3MP,new wave music
What You Waiting For?,7bZsx7Zif6FIhrcZrh0LVm,new wave music
It's My Life,2fOxxLz9JVe53itq6pfBak,new wave music
Cool,469RmLzEsicj8VSn9aIuKV,new wave music
When You Were Young,70wYA8oYHoMzhRRkARoMhU,new wave music
Shut Up And Drive,4Tn2llBm1g0UlWctmgPL8Z,new wave music
I Kissed A Girl,005lwxGU1tms6HGELIcUv9,new wave music
Human,1sTsuZTdANkiFd7T34H3nb,new wave music
Midnight City,1eyzqe2QqGZUmfcPZtrIyt,new wave music
Safe And Sound,6Z8R6UsFuGXGtiIxiD8ISb,new wave music
Still into You,1yjY7rpaAQvKwpdUliHx0d,new wave music
One Way or Another (Teenage Kicks),3jZomvOBa5qfTo5HkqI1p5,new wave music
Shut Up and Dance,4kbj5MwxO1bq9wjT5g9HaA,new wave music
Easier,2bjUEg4jBtKBlPdNrTAppI,new wave music
Blinding Lights,0sf12qNH5qcw8qpgymFOqD,new wave music
In Your Eyes,7szuecWAPwGoV1e5vGu8tl,new wave music
Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,new wave music
As It Was,4LRPiXqCikLlN15c3yImP7,new wave music
As It Was,4Dvkj6JhhA12EX05fT7y2e,new wave music
Can't Get You out of My Head,3E7ZwUMJFqpsDOJzEkBrQ7,new wave music
What You Know,3GBApU0NuzH4hKZq4NOSdA,new wave music
What the Hell,2z4U9d5OAA4YLNXoCgioxo,new wave music
Ain't It Fun,1j8z4TTjJ1YOdoFEDwJTQa,new wave music
Ain't It Fun,1j8z4TTjJ1YOdoFEDwJTQa,new wave music
On The Ground,2pn8dNVSpYnAtlKFC8Q0DJ,new wave music
bad idea right?,2i8f4VnnBjy0yDqH2C452a,new wave music
