track_name,track_id,genre
In the End,60a0Rd6pjrkxjPbaKzXjfq,nu metal
Rollin' (Air Raid Vehicle),3IV4swNduIRunHREK80owz,nu metal
Butterfly,4BggEwLhGfrbrl7JBhC8EC,nu metal
It's Been Awhile,25CMmGsl22APKhfuj4Tp7j,nu metal
When It's Over - David Kahne Main,5ZsPy9wHH733NlU6c4v2Hi,nu metal
In the End,60a0Rd6pjrkxjPbaKzXjfq,nu metal
Bring Me To Life,0COqiPhxzoWICwFCS4eZcp,nu metal
Faint,4Yf5bqU3NK4kNOypcrLYwU,nu metal
I Hate Everything About You,0M955bMOoilikPXwKLYpoi,nu metal
Headstrong,1AEYT6VxrxXPMoQUxsY0E4,nu metal
Numb,2nLtzopw4rPReszdYBJU6h,nu metal
Youth of the Nation,0UrWr7Jnu1heq1o99ZwUd0,nu metal
