track_name,track_id,genre
Rock DJ,7oQSevUCbYs4QawXTHQVV1,nu-disco
Can't Get You out of My Head,3E7ZwUMJFqpsDOJzEkBrQ7,nu-disco
Love at First Sight,6ua8mbyHXTHpAmGyGpFAS2,nu-disco
Hung Up,3850dYVgOFIXJh5U4BFEWH,nu-disco
Bounce (feat. Kelis) - Radio Edit,36cmM3MBMWWCFIiQ90U4J8,nu-disco
Slide (feat. Frank Ocean & Migos),6gpcs5eMhJwax4mIfKDYQk,nu-disco
Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,nu-disco
Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,nu-disco
Levitating (feat. DaBaby),463CkQjx2Zk1yXoBuierM9,nu-disco
About Damn Time,1PckUlxKqWQs3RlWXVBLw3,nu-disco
Houdini,4OMJGnvZfDvsePyCwRGO7X,nu-disco
Call Me Maybe,3TGRqZ0a2l1LRblBkJoaDx,nu-disco
Boy With Luv (feat. Halsey),4a9tbd947vo9K8Vti9JwcI,nu-disco
Prisoner (feat. Dua Lipa),5JqZ3oqF00jkT81foAFvqg,nu-disco
Prisoner (feat. Dua Lipa),5JqZ3oqF00jkT81foAFvqg,nu-disco
