track_name,track_id,genre
Teenage Dirtbag,25FTMokYEbEWHEdss5JLZS,pop punk
The Middle,6GG73Jik4jUlQCkKg9JuGO,pop punk
In Too Deep,1HNE2PX70ztbEl6MLxrpNL,pop punk
Lifestyles of the Rich & Famous,2g2a5kDeZexbUTD8abcvm6,pop punk
Shake It,5619Ojc6t9evEEs3B7Drhe,pop punk
Gives You Hell,5gb9UJkh8TfrNMRYOJNbew,pop punk
Good Girls Go Bad (feat. Leighton Meester),7kMfu3KUydmrFVGEAhjtyl,pop punk
Magic (feat. Rivers Cuomo),5uHYcK0nbEYgRaFTY5BqnP,pop punk
She Looks So Perfect,1gugDOSMREb34Xo0c1PlxM,pop punk
One Thing Right,4hPpVbbakQNv8YTHYaOJP4,pop punk
