track_name,track_id,genre
Thong Song,5Mmk2ii6laakqfeCT7OnVD,pop rap
Izzo (H.O.V.A.),4h5KBcltGefua73AUPYps7,pop rap
Slow Jamz,3A4cpTBPaIQdtPFb5JxtaX,pop rap
Grind With Me,3B7i9OKRRmIsSBHEbJz58Y,pop rap
London Bridge,7jRoWfRlLnGYEIEn4t4kbq,pop rap
Chain Hang Low,0tYPj0NYa7vjlJaqlRSnJb,pop rap
Crank That (Soulja Boy),66TRwr5uJwPt15mfFkzhbi,pop rap
Kiss Kiss (feat. T-Pain),3wKKkGVn7cVSfgPeYYIiXG,pop rap
Glamorous,4KTtYhxFtFL7mBwnjkKfLm,pop rap
Shortie Like Mine (feat. Chris Brown & Johntá Austin),6oUGAx0vkBcnGzYkvw0ZsA,pop rap
Crank That (Soulja Boy),66TRwr5uJwPt15mfFkzhbi,pop rap
Love in This Club (feat. Young Jeezy),5j0McHPthKpOXRr3fBq8M0,pop rap
Whatever You Like,1IAzD1muglOxOcPbUHs70R,pop rap
Kiss Kiss (feat. T-Pain),3wKKkGVn7cVSfgPeYYIiXG,pop rap
Empire State Of Mind,2igwFfvr1OAGX9SKDCPBwO,pop rap
Best I Ever Had,3QLjDkgLh9AOEHlhQtDuhs,pop rap
Kiss Me Thru The Phone,2q4rjDy9WhaN3o9MvDbO21,pop rap
Whatever You Like,1IAzD1muglOxOcPbUHs70R,pop rap
I Know You Want Me (Calle Ocho),13plQdOoWSSXPRUSZc5FuM,pop rap
I Love College,1akgiRM3mN2nxu2AX6ACCW,pop rap
Love The Way You Lie,15JINEqzVMv3SvJTAXAKED,pop rap
Nothin' on You (feat. Bruno Mars),59dLtGBS26x7kc0rHbaPrq,pop rap
Just A Dream,3ZdJffjzJWFimSQyxgGIxN,pop rap
Billionaire (feat. Bruno Mars),2M9ULmQwTaTGmAdXaXpfz5,pop rap
Airplanes (feat. Hayley Williams of Paramore),6lV2MSQmRIkycDScNtrBXO,pop rap
STARSTRUKK (feat. Katy Perry),1hBM2D1ULT3aeKuddSwPsK,pop rap
Magic (feat. Rivers Cuomo),5uHYcK0nbEYgRaFTY5BqnP,pop rap
Super Bass,3hlksXnvbKogFdPbpO9vel,pop rap
I'm On One,608a1wIsSd5KzMEqm1O7w3,pop rap
The Show Goes On,4NTWZqvfQTlOMitlVn6tew,pop rap
Lighters,5zpDHEU12zATwLGvozxPw2,pop rap
International Love (feat. Chris Brown),62zFEHfAYl5kdHYOivj4BC,pop rap
Whistle,3bC1ahPIYt1btJzSSEyyrF,pop rap
Troublemaker (feat. Flo Rida),6s8nHXTJVqFjXE4yVZPDHR,pop rap
The Monster,48RrDBpOSSl1aLVCalGl5C,pop rap
Talk Dirty (feat. 2 Chainz),6g6A7qNhTfUgOSH7ROOxTD,pop rap
Dark Horse,4jbmgIyjGoXjY01XxatOx6,pop rap
Shower,3DmW6y7wTEYHJZlLo1r6XJ,pop rap
All About That Bass,5jE48hhRu8E6zBDPRSkEq7,pop rap
Talk Dirty (feat. 2 Chainz),6g6A7qNhTfUgOSH7ROOxTD,pop rap
Black Widow,7pNC5ZIKtwUK0ReSpM3P9f,pop rap
See You Again (feat. Charlie Puth),2JzZzZUQj3Qff7wapcbKjc,pop rap
Time of Our Lives,2bJvI42r8EF3wxjOuDav4r,pop rap
Trap Queen,2d8JP84HNLKhmd6IYOoupQ,pop rap
Ayo,0k6DnZMLoEUH8NGD5zh2SE,pop rap
"Me, Myself & I",40YcuQysJ0KlGQTeGUosTC,pop rap
2 Phones,0wdKiSBUT7aZkXUIdJWcwC,pop rap
LOVE. FEAT. ZACARI.,6PGoSes0D9eUDeeAafB2As,pop rap
Galway Girl,0afhq8XCExXpqazXczTSve,pop rap
Glorious (feat. Skylar Grey),0CokSRCu5hZgPxcZBaEzVE,pop rap
LOVE. FEAT. ZACARI.,6PGoSes0D9eUDeeAafB2As,pop rap
Moonlight,0JP9xo3adEtGSdUEISiszL,pop rap
Better Now,7dt6x5M1jzdTEt8oCbisTK,pop rap
Let You Down,52okn5MNA47tk87PeZJLEL,pop rap
SAD!,3ee8Jmje8o58CHK66QrVC2,pop rap
River (feat. Ed Sheeran),1cS0TgbR263ey9jn0MwD2s,pop rap
Freaky Friday (feat. Chris Brown),6dbSBQXCctYSVryynHXaZ4,pop rap
Pray For Me (with Kendrick Lamar),77UjLW8j5UAGAGVGhR5oUK,pop rap
Better Now,7dt6x5M1jzdTEt8oCbisTK,pop rap
Good as Hell,6KgBpzTuTRPebChN0VTyzV,pop rap
ROXANNE,696DnlkuDOXcMAnKlTgXXK,pop rap
Say So,3Dv1eDb0MEgF93GpLXlucZ,pop rap
Mood (feat. iann dior),3tjFYV6RSFtuktYl3ZtYcq,pop rap
Therefore I Am,54bFM56PmE4YLRnqpW6Tha,pop rap
Boss Bitch,78qd8dvwea0Gosb6Fe6j3k,pop rap
STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20,pop rap
INDUSTRY BABY (feat. Jack Harlow),5Z9KJZvQzH6PFmb8SNkxuk,pop rap
Mood (feat. iann dior),4jPy3l0RUwlUI9T5XHBW2m,pop rap
Therefore I Am,54bFM56PmE4YLRnqpW6Tha,pop rap
Life Goes On,0eu4C55hL6x29mmeAjytzC,pop rap
Super Freaky Girl,4C6Uex2ILwJi9sZXRdmqXp,pop rap
INDUSTRY BABY (feat. Jack Harlow),27NovPIUIRrOZoCHxABJwK,pop rap
I Like You (A Happier Song) (with Doja Cat),0O6u0VJ46W86TxN9wgyqDj,pop rap
STAY (with Justin Bieber),5PjdY0CKGZdEuoNab3yDmX,pop rap
Big Energy,4pi1G1x8tl9VfdD9bL3maT,pop rap
Lovin On Me,4xhsWYTOGcal8zt0J161CU,pop rap
get him back!,2gyxAWHebV7xPYVxqoi86f,pop rap
Give Me Everything (feat. Nayer),4QNpBfC0zvjKqPJcyqBy9W,pop rap
Pink Venom,0skYUMpS0AcbpjcGsAbRGj,pop rap
