track_name,track_id,genre
All The Small Things,2m1hi0nfMR9vdGC8UcrnwU,pop rock
It's My Life,0v1XpBHnsbkCn7iJ9Ucr1l,pop rock
Yellow,3AJwUDP919kvQ9QcozQPxg,pop rock
Teenage Dirtbag,25FTMokYEbEWHEdss5JLZS,pop rock
The Riddle,0ZqveF2rEFlz2oqF2xrriP,pop rock
Absolutely (Story of a Girl) - Radio Mix,3mNecsYFb6LQg7822DPXCP,pop rock
Everything You Want,4cKGldbhGJniI8BrB3K6tb,pop rock
Life Is A Rollercoaster,1vlTMKVV0FxG6CxGTmSY3t,pop rock
"Whenever, Wherever",2lnzGkdtDj5mtlcOW2yRtG,pop rock
Superman (It's Not Easy),3TwtrR1yNLY1PMPsrGQpOp,pop rock
Uptown Girl - Radio Edit,2sFp6E7lNBbblJGmUtCfFH,pop rock
Jaded,6uhj7EIZZm3OwVr0gWfkQn,pop rock
Complicated,5xEM5hIgJ1jjgcEBfpkt2F,pop rock
A Thousand Miles,4w1lzcaoZ1IC2K5TwjalRP,pop rock
Underneath Your Clothes,15f8Cv8RXUlOOCIf2oaceN,pop rock
The Logical Song,18kaCWM0OOdSQTnxCcoSU5,pop rock
Just Like a Pill,1BpV8IGf4XsRRJf4Xuui9q,pop rock
Hella Good,6AfLmKXzhEZjwiVPs5jhdV,pop rock
Since U Been Gone,3xrn9i8zhNZsTtcoWgQEAd,pop rock
I'm with You,1jlG3KJ3gdYmhfuySFfpO1,pop rock
This Love,6ECp64rv50XVz93WvxXMGF,pop rock
The Reason,5B5eTk7DF8KVp1zpQoY1XY,pop rock
Numb,2nLtzopw4rPReszdYBJU6h,pop rock
Left Outside Alone,3xl7PsO7Hzuig6To9FgDm6,pop rock
Love Machine,6SHvqMjPEQqyJaxuEzNcr3,pop rock
I Don't Want to Be,6ich2xMH5AR39V85miIAN8,pop rock
You're Beautiful,0vg4WnUWvze6pBOJDTq99k,pop rock
Bad Day,0mUyMawtxj1CJ76kn9gIZK,pop rock
Since U Been Gone,3xrn9i8zhNZsTtcoWgQEAd,pop rock
Beautiful Soul,1HwpWwa6bnqqRhK8agG4RS,pop rock
Collide,6dwkFmLUz6hx2CZG2EqLol,pop rock
Behind These Hazel Eyes,0AKAxdNkwq9ZxRdW1DN9zW,pop rock
How to Save a Life,5fVZC9GiM4e8vu99W0Xf6J,pop rock
Waiting On the World to Change,5imShWWzwqfAJ9gXFpGAQh,pop rock
Who Knew - Edit,2hns6Dv29Yrg68AVTJiAyA,pop rock
Patience,4DxybsoSiMUW0JI2oM0SSN,pop rock
Over My Head (Cable Car),1N62wozuHCvczCkY4QidpP,pop rock
I Don't Feel Like Dancin',13pyGLYmBjYgvOMIEivX2K,pop rock
You Give Me Something,28euH5Ny1JXxZAt2KjWp62,pop rock
Fill My Little World,1JOxCh2Aa08z8cNJQJhWBJ,pop rock
How to Save a Life,5fVZC9GiM4e8vu99W0Xf6J,pop rock
Patience,4DxybsoSiMUW0JI2oM0SSN,pop rock
Fluorescent Adolescent,7e8utCy2JlSB8dRHKi49xM,pop rock
