track_name,track_id,genre
All The Small Things,2m1hi0nfMR9vdGC8UcrnwU,pop-punk
Fat Lip,4KacUpvbA3Mfo05gttTjhN,pop-punk
Sk8er Boi,00Mb3DuaIH1kjrwOku9CGU,pop-punk
American Idiot,6nTiIhLmQ3FWhvrGafw2zj,pop-punk
"Sugar, We're Goin Down",2TfSHkHiFO4gRztVIkggkE,pop-punk
Dirty Little Secret,5ZdzNVOmCSp5HFLk0EgvJS,pop-punk
"Dance, Dance",0a7BloCiNzLDD9qSQHh5m7,pop-punk
Welcome to the Black Parade,5wQnmLuC1W7ATsArWACrgW,pop-punk
I Write Sins Not Tragedies,4bPQs0PHn4xbipzdPfn6du,pop-punk
Dirty Little Secret,5ZdzNVOmCSp5HFLk0EgvJS,pop-punk
Move Along,58HpsDKeYoLtNhXFQyQmz5,pop-punk
Thnks fr th Mmrs,3Zwu2K0Qa5sT6teCCHPShP,pop-punk
Face Down,4wzjNqjKAKDU82e8uMhzmr,pop-punk
"Dear Maria, Count Me In",0JJP0IS4w0fJx01EcrfkDe,pop-punk
Misery Business,6SpLc7EXZIPpy0sVko0aoU,pop-punk
Girlfriend,45hOioMDJktr86iKDHC8gr,pop-punk
The Great Escape,6GIrIt2M39wEGwjCQjGChX,pop-punk
21 Guns,64yrDBpcdwEdNY9loyEGbX,pop-punk
Love Drunk,20X9OeC606XNwEtDBOym5u,pop-punk
Animal,1fBl642IhJOE5U319Gy2Go,pop-punk
What the Hell,2z4U9d5OAA4YLNXoCgioxo,pop-punk
my ex's best friend (with blackbear),70rFIfYN7lU6iTgUIVP42w,pop-punk
Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,pop-punk
good 4 u,6PERP62TejQjgHu81OHxgM,pop-punk
On The Ground,2pn8dNVSpYnAtlKFC8Q0DJ,pop-punk
t r a n s p a r e n t s o u l feat. Travis Barker,1QL7nSDZCwZMnbisV4KOXt,pop-punk
abcdefu,4fouWK6XVHhzl78KzQ1UjL,pop-punk
good 4 u,4ZtFanR9U6ndgddUvNcjcG,pop-punk
SKIN OF MY TEETH,1O9AseW10CTi6nBLoj0O6K,pop-punk
We Are Never Ever Getting Back Together,0VwNdo84DaVYLIkbVO86ND,pop-punk
Still into You,1yjY7rpaAQvKwpdUliHx0d,pop-punk
One Way or Another (Teenage Kicks),3jZomvOBa5qfTo5HkqI1p5,pop-punk
happier,2tGvwE8GcFKwNdAXMnlbfl,pop-punk
bad idea right?,2i8f4VnnBjy0yDqH2C452a,pop-punk
get him back!,2gyxAWHebV7xPYVxqoi86f,pop-punk
