track_name,track_id,genre
"Bust It Baby, Pt. 2 (feat. Ne-Yo)",0exb0K7vsjf5bXWLJJhAuF,pop-rap
Right Round,3GpbwCm3YxiWDvy29Uo3vP,pop-rap
Teach Me How to Dougie,61LtVmmkGr8P9I2tSPvdpf,pop-rap
My First Kiss (feat. Ke$ha),17tDv8WA8IhqE8qzuQn707,pop-rap
Rocketeer,45sDIKapDyxPl307QpEAwl,pop-rap
Roll Up,53DB6LJV9B8sz0p1s6tlGS,pop-rap
"Young, Wild & Free (feat. Bruno Mars)",5HQVUIKwCEXpe7JIHyY734,pop-rap
Thrift Shop (feat. Wanz),6CjtS2JZH9RkDz5UVInsa9,pop-rap
Fancy,3oiMJQAWVaxSubJ7b2VUtX,pop-rap
Wiggle (feat. Snoop Dogg),2sLwPnIP3CUVmIuHranJZU,pop-rap
My House,6Knv6wdA0luoMUuuoYi2i1,pop-rap
679 (feat. Remy Boyz),5NQbUaeTEOGdD6hHcre0dZ,pop-rap
My House,6Knv6wdA0luoMUuuoYi2i1,pop-rap
Bad Things (with Camila Cabello),1PSBzsahR2AKwLJgx8ehBj,pop-rap
1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,pop-rap
God's Plan,6DCZcSspjsKoFjzjrWoCdn,pop-rap
"Lemonade (feat. Gunna, Don Toliver & NAV)",2DQNYMRjisN3KAPj1bEwOI,pop-rap
Kiss Me More (feat. SZA),748mdHapucXQri7IAO8yFK,pop-rap
Astronaut In The Ocean,3Ofmpyhv5UAQ70mENzB277,pop-rap
Up,1XXimziG1uhM0eDNCZCrUl,pop-rap
Beautiful Mistakes (feat. Megan Thee Stallion),6fRxMU4LWwyaSSowV441IU,pop-rap
Lemonade,02kDW379Yfd5PzW5A6vuGt,pop-rap
See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB,pop-rap
