track_name,track_id,genre
What Goes Around.../...Comes Around (Interlude),3pD0f7hSJg2XdQ6udw5Tey,psychedelic pop
Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,psychedelic pop
The Less I Know The Better,6K4t31amVTZDgR3sKmwUJJ,psychedelic pop
Trouble,5n0CTysih20NYdT2S0Wpe8,psychedelic pop
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,psychedelic pop
Little Dark Age,2Y0iGXY6m6immVb2ktbseM,psychedelic pop
deja vu,61KpQadow081I2AsbeLcsb,psychedelic pop
Heat Waves,3USxtqRwSYz57Ewm6wWRMp,psychedelic pop
Heat Waves,02MWAaffLxlfxAUY7c5dvx,psychedelic pop
Houdini,4OMJGnvZfDvsePyCwRGO7X,psychedelic pop
