track_name,track_id,genre
7 Days,0gPQTLaqHDgdupKEok7J2x,r&b
"Independent Women, Pt. 1",69XUpOpjzDKcfdxqZebGiI,r&b
No More,2WfhlEjoUII31H6imnQdvF,r&b
"Independent Women, Pt. 1",69XUpOpjzDKcfdxqZebGiI,r&b
No More Drama,7nWsh14AHpnTzq1Xejz90U,r&b
Beautiful,4675yUu8AUbE72T94BkLCD,r&b
Beautiful Girls,1hGy2eLcmC8eKx7qr1tOqx,r&b
Fire Burning,2oENJa1T33GJ0w8dC167G4,r&b
Stay,789CxjEOtO76BVD1A9yJQH,r&b
One Dance,1zi7xx7UVEFkmKfv06H8x0,r&b
You Don't Own Me (feat. G-Eazy),6KI1ZpZWYAJLvmVhCJz65G,r&b
goosebumps,6gBFPUFcJLzWGx4lenP6h2,r&b
Call Out My Name,09mEdoA6zrmBPgTEN5qXmN,r&b
In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,r&b
Evergreen (You Didn’t Deserve Me At All),2TktkzfozZifbQhXjT6I33,r&b
Here With Me,78Sw5GDo6AlGwTwanjXbGh,r&b
Romantic Homicide,1xK59OXxi2TAAAbmZK0kBL,r&b
