track_name,track_id,genre
In the End,60a0Rd6pjrkxjPbaKzXjfq,rap rock
Fat Lip,4KacUpvbA3Mfo05gttTjhN,rap rock
Butterfly,4BggEwLhGfrbrl7JBhC8EC,rap rock
Youth of the Nation,0UrWr7Jnu1heq1o99ZwUd0,rap rock
Music (feat. Marvin Gaye),6IFOw9Ck9mWHRQgw6QrPYx,rap rock
Heaven Is a Halfpipe (If I Die),1Sm3U3B5XoidYQEZQZrh3i,rap rock
In the End,60a0Rd6pjrkxjPbaKzXjfq,rap rock
Till I Collapse,4xkOaSrkexMciUUogZKVTS,rap rock
Can't Stop,3ZOEytgrvLwQaqXreDs2Jx,rap rock
By the Way,1f2V8U1BiWaC9aJWmpOARe,rap rock
Cleanin' Out My Closet,7BMO7O7ImjV8HNTH74Tshv,rap rock
Lose Yourself,5Z01UMMf7V1o0MzF86s6WJ,rap rock
Bring Me To Life,0COqiPhxzoWICwFCS4eZcp,rap rock
Faint,4Yf5bqU3NK4kNOypcrLYwU,rap rock
Sing For The Moment,3CpoeW0cZSDzIRv5z34F87,rap rock
Let's Get It Started - Spike Mix,4hfIVhq0F0zFUcrbecsYmo,rap rock
Feel Good Inc.,0d28khcov6AiegSCpG5TuT,rap rock
Numb / Encore,5sNESr6pQfIhL3krM8CtZn,rap rock
Beverly Hills,1yKu2MhpwzDXXH2tzG6xoa,rap rock
Pump It,6btyEL6NwUa97Nex9cZFvo,rap rock
Bleed It Out,0UFDKFqW2oGspYeYqo9wjA,rap rock
Party Like A Rock Star,1IYaMVfidzSfvCUZYXhsU1,rap rock
Ain't No Rest for the Wicked,3Pzh926pXggbMe2ZpXyMV7,rap rock
Run This Town,7LR85XLWw2yXqKBSI5brbG,rap rock
Let It Rock,6TrNRd98WksT9Kkmx9uj6R,rap rock
Airplanes (feat. Hayley Williams of Paramore),6lV2MSQmRIkycDScNtrBXO,rap rock
BURN IT DOWN,7oVEtyuv9NBmnytsCIsY5I,rap rock
Berzerk,6Xk7PnitV9jCRorWt2LiVZ,rap rock
Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn,rap rock
River (feat. Ed Sheeran),1cS0TgbR263ey9jn0MwD2s,rap rock
Mood (feat. iann dior),3tjFYV6RSFtuktYl3ZtYcq,rap rock
Astronaut In The Ocean,3Ofmpyhv5UAQ70mENzB277,rap rock
Mood (feat. iann dior),4jPy3l0RUwlUI9T5XHBW2m,rap rock
Enemy (with JID) - from the series Arcane League of Legends,1r9xUipOqoNwggBpENDsvJ,rap rock
get him back!,2gyxAWHebV7xPYVxqoi86f,rap rock
Clint Eastwood,7yMiX7n9SBvadzox8T5jzT,rap rock
The Seed (2.0),6HxweNytuEQdmGeVtZPZz3,rap rock
Magic (feat. Rivers Cuomo),5uHYcK0nbEYgRaFTY5BqnP,rap rock
