track_name,track_id,genre
Gasolina,228BxWXUYQPJrJYHDLOHkj,reggaeton
La Tortura (feat. Alejandro Sanz),5BSclXJTa9B0iURhUjZo50,reggaeton
Hips Don't Lie (feat. Wyclef Jean),3ZFTkvIE7kyPt6Nu3PEa7V,reggaeton
Danza Kuduro,2a1o6ZejUi8U3wzzOtCOYw,reggaeton
DUELE EL CORAZON (feat. Wisin),6YZdkObH88npeKrrkb8Ggf,reggaeton
Despacito,6habFhsOp2NvshLv26DqMb,reggaeton
Criminal,6Za3190Sbw39BBC77WSS1C,reggaeton
Mi Gente,7COfe3P7KgfwDwIRB8LIDw,reggaeton
SUBEME LA RADIO,7nKBxz47S9SD79N086fuhn,reggaeton
Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,reggaeton
Vaina Loca,48zFZh27QU5qsrBjn4C2FA,reggaeton
Me Niego (feat. Ozuna & Wisin),4ggiDYAkJ7Yk8d5xOr7Xjo,reggaeton
Dura,6KuqAtoeVzxAYOaMveLNpH,reggaeton
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",4QtiVmuA88tPQiCOHZuQ5b,reggaeton
Con Calma,5w9c2J52mkdntKOmRLeM2m,reggaeton
MIA,3gE4eQH3K83Sght0ZLvuBK,reggaeton
Callaita,2TH65lNHgvLxCKXM3apjxI,reggaeton
China,2ksOAxtIxY8yElEWw8RhgK,reggaeton
Soltera (Remix),4t9a07PAghtQMRAIP9FQ7Z,reggaeton
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",0KoiMHhqKLoL4xM54rcWYY,reggaeton
Secreto,5W83ErFkO3aKAIS1WMi6u0,reggaeton
Otro Trago,1Ej96GIBCTvgH7tNX1r3qr,reggaeton
DÁKITI,47EiUVwUp4C9fGccaPuUCS,reggaeton
Tusa,7k4t7uLgtOxPwTpFmtJNTY,reggaeton
Hawái,1yoMvmasuxZfqHEipJhRbp,reggaeton
Savage Love (Laxed - Siren Beat),1xQ6trAsedVPCdbtDAmk0c,reggaeton
MAMACITA,14wf185UxfNbSy8dwt4r4q,reggaeton
Yo Perreo Sola,0SqqAgdovOE24BzxIClpjw,reggaeton
Baila Conmigo (with Rauw Alejandro),079Ey5uxL04AKPQgVQwx5h,reggaeton
Yonaguni,2JPLbjOn0wPCngEot2STUS,reggaeton
DÁKITI,4MzXwWMhyBbmu6hOcLVD49,reggaeton
LA NOCHE DE ANOCHE,2XIc1pqjXV3Cr2BQUGNBck,reggaeton
BICHOTA,7vrJn5hDSXRmdXoR30KgF1,reggaeton
Bandido,1xK1Gg9SxG8fy2Ya373oqb,reggaeton
Me Porto Bonito,6Sq7ltF9Qa7SNFBsV5Cogx,reggaeton
Envolver,3IAfUEeaXRX9s9UdKOJrFI,reggaeton
Una Noche en Medellín,1O2pcBJGej0pmH2Y9XZMs6,reggaeton
MAMIII,1ri9ZUkBJVFUdgwzCnfcYs,reggaeton
Ojitos Lindos,3k3NWokhRRkEPhCzPmV8TW,reggaeton
Te Felicito,2rurDawMfoKP4uHyb2kJBt,reggaeton
Moscow Mule,6Xom58OOXk2SoU711L2IXO,reggaeton
Desesperados,6mmPpaltUZK7xjNlBPQQ0p,reggaeton
TQG,0DWdj2oZMBFSzRsi2Cvfzf,reggaeton
La Bebe - Remix,2UW7JaomAMuX9pZrjVpHAU,reggaeton
K-POP,5L3ecxQnQ9qTBmnLQiwf0C,reggaeton
BESO,609E1JCInJncactoMmkDon,reggaeton
QLONA,3XB5uhhlYSnkxpSihkNQwh,reggaeton
