track_name,track_id,genre
Beautiful Day,1VuBmEauSZywQVtqbxNqka,rock music
Bent,6fA7akEuTUL3dW1V0GELaZ,rock music
Drops of Jupiter (Tell Me),2hKdd3qO7cWr2Jo0Bcs0MA,rock music
Again,5c1QJAiC3773EwiZLwHf5x,rock music
Underneath Your Clothes,15f8Cv8RXUlOOCIf2oaceN,rock music
The Scientist,75JFxkI2RXiU7L9VXzMkle,rock music
Stop Crying Your Heart Out,0SlpFHdk4UHBDzCEoXzy14,rock music
Don't Let Me Get Me - Radio Edit,1BfRdnfPYrni7zj4ANodBX,rock music
Little By Little,45AQ5zbSJ0j1nM9daSWeq8,rock music
Fighter,7nXq1vaZiz7PdbfojpPjW5,rock music
The Seed (2.0),6HxweNytuEQdmGeVtZPZz3,rock music
Fix You,7LVHVU3tWfcxj5aiPFEW4Q,rock music
Speed of Sound,7clUVcSOtkNWa58Gw5RfD4,rock music
Sometimes You Can't Make It On Your Own,6fzcnVO0X2cpYjsHk19GJo,rock music
Stop And Stare,48s0QHJgmiNsth3WEO6U4M,rock music
Sober,733ncRLzZQT5UtSPg1QmPc,rock music
Don't Stop Believin' (Glee Cast Version) - Cover of Journey,6rjnRocdCULjLF61x2NR5e,rock music
Unconditionally,009ImBOrIUlWgla8U05RAC,rock music
Chocolate,44Ljlpy44mHvLJxcYUvTK0,rock music
Blame It on Me,2vzMWO0T008m86yDnXwkII,rock music
Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,rock music
In My Blood,2QZ7WLBE8h2y1Y5Fb8RYbH,rock music
Paradise,38zwkK6TtTjIW9tpYBfZ3D,rock music
Shallow,2VxeLyX666F8uXCJ0dZF8B,rock music
Wonder,5KCbr5ndeby4y4ggthdiAb,rock music
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,rock music
traitor,5CZ40GBx1sQ9agT82CLQCT,rock music
traitor,5CZ40GBx1sQ9agT82CLQCT,rock music
29,3gXWe15nwrjfhjYQ5RqLx7,rock music
Say Hey (I Love You) (feat. Cherine Tanya Anderson),383B8ksM58jbV3HbiRJo0K,rock music
What the Hell,2z4U9d5OAA4YLNXoCgioxo,rock music
22,6ce41JVa6KFaryfmC2bu2W,rock music
Ride,2Z8WuEywRWYTKe1NybPQEW,rock music
Slow Hands,2cOUlop2ZakjOKe4WinesN,rock music
Lover,1dGr1c8CrMLDpV6mPbImSI,rock music
good 4 u,6PERP62TejQjgHu81OHxgM,rock music
good 4 u,4ZtFanR9U6ndgddUvNcjcG,rock music
vampire,3k79jB4aGmMDUQzEwa46Rz,rock music
