track_name,track_id,genre
Laffy Taffy,2ajhenDRiiAnCHHjsIOHhJ,snap music
Snap Yo Fingers,6o3s08kk2fQI37vxGZDrJ1,snap music
Laffy Taffy,2ajhenDRiiAnCHHjsIOHhJ,snap music
It's Goin' Down (feat. Nitti),05Sgj1Hx03ZXc57gsV1kfX,snap music
"Lean Wit It, Rock Wit It",7cVmKBwzPsh4Fmb6SplfEm,snap music
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),1tkMs9wDPknQ3ZHcKDw1ES,snap music
Crank That (Soulja Boy),66TRwr5uJwPt15mfFkzhbi,snap music
Shortie Like Mine (feat. Chris Brown & Johntá Austin),6oUGAx0vkBcnGzYkvw0ZsA,snap music
Walk It Out,0JPntF36B28bSTUkjplyNd,snap music
Crank That (Soulja Boy),66TRwr5uJwPt15mfFkzhbi,snap music
Can't Believe It (feat. Lil' Wayne),4D2cYdHqk8tu65jUig4OcN,snap music
