track_name,track_id,genre
Everything You Want,4cKGldbhGJniI8BrB3K6tb,soft rock
Your Body Is a Wonderland,7vFv0yFGMJW3qVXbAd9BK9,soft rock
Superman (It's Not Easy),3TwtrR1yNLY1PMPsrGQpOp,soft rock
Eternal Flame - Single Version,3qzcM6SmbzBnGXSJe6hYdy,soft rock
Heaven,72SpPFrMYCXLB3Fbw9tEgf,soft rock
Your Body Is a Wonderland,7vFv0yFGMJW3qVXbAd9BK9,soft rock
100 Years,2lFlveK1y13WWp3vnQtrr3,soft rock
Pieces Of Me,7yXibbAYi4to5oQTeO738f,soft rock
You're Beautiful,0vg4WnUWvze6pBOJDTq99k,soft rock
You And Me,0815caqt2Lytro5EIzMufT,soft rock
Photograph,3hb2ScEVkGchcAQqrPLP0R,soft rock
Collide,6dwkFmLUz6hx2CZG2EqLol,soft rock
Waiting On the World to Change,5imShWWzwqfAJ9gXFpGAQh,soft rock
Far Away,0ADZ5dmXhlfzjMw6lefoPl,soft rock
I Don't Feel Like Dancin',13pyGLYmBjYgvOMIEivX2K,soft rock
When You're Gone,54JKnDB3CzVu8wNAOM27BI,soft rock
Hallelujah,5IaR621NoOM6i5KTcuNRHM,soft rock
Into the Night (feat. Chad Kroeger),5Hv1QAbRWrUSUHaT0CmnMS,soft rock
I'm Yours,1EzrEOXmMH3G43AXT1y7pA,soft rock
The Only Exception,7JIuqL4ZqkpfGKQhYlrirs,soft rock
Just the Way You Are,7BqBn9nzAq8spo5e7cZ0dJ,soft rock
Madness,0c4IEciLCDdXEhhKxj4ThA,soft rock
Let Her Go,1KxwZYyzWNyZSRyErj2ojT,soft rock
Daylight,6TwfdLbaxTKzQi3AgsZNzx,soft rock
Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,soft rock
Waves - Robin Schulz Radio Edit,1HFfMOxCAT4GAwaPfCdmUs,soft rock
Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,soft rock
Die A Happy Man,5kNe7PE09d6Kvw5pAsx23n,soft rock
Water Under the Bridge,4jL6WWKFDqCOPo2hC3VhSS,soft rock
Fast Car,1SN1vSPsr4V4tIUTR3s8YW,soft rock
Perfect,0tgVpDi06FyKpA1z0VMD4v,soft rock
Sign of the Times,5Ohxk2dO5COHF1krpoPigN,soft rock
Malibu,1UZOjK1BwmwWU14Erba9CZ,soft rock
Circles,21jGcNKet2qwijlDFuPiPb,soft rock
Higher Love,6oJ6le65B3SEqPwMRNXWjY,soft rock
cardigan,4LEK9rD7TWIG4FCL1s27XC,soft rock
Wishing Well,6o3QUC5oAE4g6WxRIFcZtb,soft rock
Lost Cause,2xdwCJLfKCkat14mlgR26M,soft rock
Used To Be Young,0Nfh4u0J4bajcyp5pzaWCx,soft rock
Let It Go,13HVjjWUZFaWilh2QUJKsP,soft rock
Shallow,2VxeLyX666F8uXCJ0dZF8B,soft rock
Fast Car,1Lo0QY9cvc8sUB2vnIOxDT,soft rock
