track_name,track_id,genre
Ms. Jackson,0I3q5fE6wg7LIfHGngUTnV,soul music
Lady Marmalade - Single Edit,0PSZ9G584Ve27GK6ThlY6P,soul music
Love,6uSa5iCMwPr10Ftpz8w09b,soul music
Tainted Love,0cOyhnhy13lc5G5nr4EF0q,soul music
A Woman's Worth,0rimetBQIYXE3uMCbuXBUa,soul music
Crazy In Love (feat. Jay-Z),5IVuqXILoxVWvWEPm82Jxr,soul music
Rock Your Body,1AWQoqb9bSvzTjaLralEkT,soul music
So Gone,6BIcjFZIVDZxNAcofRFPx4,soul music
If I Ain't Got You,3XVBdLihbNbxUwZosxcGuJ,soul music
You Don't Know My Name,6LGwYMXXgURfaequXipzHx,soul music
Diary (feat. Tony! Toni! Tone! & Jermaine Paul),5dxHF4lrDimKqnI3GaZUmC,soul music
Ordinary People,2ZA4uMlSZjaoWGFqP1tsLI,soul music
Girl,3s2MyU2YCwNNwcSokt0jXD,soul music
Rehab,3N4DI1vuTSX1tz7fa2NQZw,soul music
You Know I'm No Good,4zQuwW24dweWcaX0fEJkP2,soul music
Tears Dry On Their Own,6yLX8QnxlnEqZfs3YKCfjF,soul music
You Give Me Something,28euH5Ny1JXxZAt2KjWp62,soul music
Back To Black,3FAclTFfvUuQYnEsptbK8w,soul music
Rehab,3N4DI1vuTSX1tz7fa2NQZw,soul music
Lost Without U,4V2F0DZrAXOWq9hkwMMG3x,soul music
Tears Dry On Their Own,6yLX8QnxlnEqZfs3YKCfjF,soul music
Chasing Pavements,56pHllZT7QOacB0bP56ofx,soul music
Mercy,78twQ5XCFJMTE37ZSU0gsj,soul music
Dog Days Are Over,1YLJVmuzeM2YSUkCCaTNUB,soul music
I Need A Dollar,3oUphdZVPyrsprZ8FgbmQS,soul music
Forget You,7AqISujIaWcY3h5zrOqt5v,soul music
Rolling in the Deep,1c8gk2PeTE04A1pIDH9YMk,soul music
Set Fire to the Rain,73CMRj62VK8nUS4ezD2wvi,soul music
Someone Like You,1zwMYTA5nlNjZxYrvBB2pV,soul music
Marry You,22PMfvdz35fFKYnJyMn077,soul music
I Won't Let You Go,2TUzU4IkfH8kcvY2MUlsd2,soul music
Thinkin Bout You,7DfFc7a6Rwfi3YQMRbDMau,soul music
One Day / Reckoning Song (Wankelmut Remix) - Radio Edit,68rcszAg5pbVaXVvR7LFNh,soul music
Rumour Has It,2A73XBDBQgmdXO8VsXPWIs,soul music
All of Me,3U4isOIWM3VvDubwSI3y7a,soul music
Stay With Me,5Nm9ERjJZ5oyfXZTECKmRt,soul music
"Happy - From """"Despicable Me 2""""""""",60nZcImufyMA1MKQY3dcCH,soul music
Sugar,2iuZJX9X9P0GKaE93xcPjk,soul music
I'm Not The Only One,7795WJLVKJoAyVoOtCWqXN,soul music
Only Love Can Hurt Like This,62ke5zFUJN6RvtXZgVH0F8,soul music
The Man,2stPxcgjdSImK7Gizl8ZUN,soul music
Uptown Funk (feat. Bruno Mars),32OlwWuMpZ6b0aN2RZOeMS,soul music
Like I'm Gonna Lose You (feat. John Legend),2YlZnw2ikdb837oKMKjBkW,soul music
When We Were Young,7GgWAITsYJaRM3r50rfh5w,soul music
Send My Love (To Your New Lover),0t7fVeEJxO2Xi4H2K5Svc9,soul music
Hello,62PaSfnXSMyLshYJrlTuL3,soul music
Lay Me Down,74sb4Gib0cL3TQeCjYF8vh,soul music
Here,5zUQZjVB6bfewBXWqsP9PY,soul music
Let It Go,13HVjjWUZFaWilh2QUJKsP,soul music
Water Under the Bridge,4jL6WWKFDqCOPo2hC3VhSS,soul music
Hello,62PaSfnXSMyLshYJrlTuL3,soul music
This Girl (Kungs Vs. Cookin' On 3 Burners),1A8j067qyiNwQnZT0bzUpZ,soul music
When We Were Young,7GgWAITsYJaRM3r50rfh5w,soul music
Send My Love (To Your New Lover),0t7fVeEJxO2Xi4H2K5Svc9,soul music
Love On The Brain,5oO3drDxtziYU2H1X23ZIp,soul music
Attention,5cF0dROlMOK5uNZtivgu50,soul music
Human,58zsLZPvfflaiIbNWoA22O,soul music
Please Me,0PG9fbaaHFHfre2gUVo7AN,soul music
Good as Hell,6KgBpzTuTRPebChN0VTyzV,soul music
For The Night (feat. Lil Baby & DaBaby),0PvFJmanyNQMseIFrU708S,soul music
Heartbreak Anniversary,3FAJ6O0NOHQV8Mc5Ri6ENp,soul music
The Heart Part 5,5MMW4CZsZiZt2iuqAXzzWC,soul music
Treasure,55h7vJchibLdUkxdlX3fK7,soul music
Ain't It Fun,1j8z4TTjJ1YOdoFEDwJTQa,soul music
Ain't It Fun,1j8z4TTjJ1YOdoFEDwJTQa,soul music
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,soul music
