track_name,track_id,genre
Right Thurr,0l3GEbH3CviUytD6iX4wzg,southern hip hop
The Way You Move (feat. Sleepy Brown),5z7mYFfhw6N6f23VwrokJD,southern hip hop
The Way You Move (feat. Sleepy Brown),5z7mYFfhw6N6f23VwrokJD,southern hip hop
Soldier (feat. T.I. & Lil' Wayne),4FTOpNYcGxnQdGNWSxIcio,southern hip hop
It's Goin' Down (feat. Nitti),05Sgj1Hx03ZXc57gsV1kfX,southern hip hop
What You Know,0CAJdthKDdRjB2h8YOguN6,southern hip hop
The Way I Live,68Zq7PMcPIQE8ol1x3gAqw,southern hip hop
Whatever You Like,1IAzD1muglOxOcPbUHs70R,southern hip hop
Put On,3OePAyHePd68TTKmy2hjq0,southern hip hop
Whatever You Like,1IAzD1muglOxOcPbUHs70R,southern hip hop
Nothin' on You (feat. Bruno Mars),59dLtGBS26x7kc0rHbaPrq,southern hip hop
No Hands (feat. Roscoe Dash & Wale),6GgPsuz0HEO0nrO2T0QhDv,southern hip hop
No Hands (feat. Roscoe Dash & Wale),03tqyYWC9Um2ZqU0ZN849H,southern hip hop
Lollipop,4P7VFiaZb3xrXoqGwZXC3J,southern hip hop
