track_name,track_id,genre
It's Raining Men,7q3qX7Ees3FZtRFJXWgPZs,synth-pop
It's My Life,2fOxxLz9JVe53itq6pfBak,synth-pop
Mr. Brightside,003vvx7Niy0yvhvHt4a68B,synth-pop
Mad World,3JOVTQ5h8HGFnDdp4VT3MP,synth-pop
It's My Life,2fOxxLz9JVe53itq6pfBak,synth-pop
Axel F,0Bo5fjMtTfCD8vHGebivqc,synth-pop
Cool,469RmLzEsicj8VSn9aIuKV,synth-pop
Kids,1jJci4qxiYcOHhQR247rEU,synth-pop
Human,1sTsuZTdANkiFd7T34H3nb,synth-pop
Shake It,5619Ojc6t9evEEs3B7Drhe,synth-pop
Poker Face,5R8dQOPq8haW94K7mgERlO,synth-pop
Just Dance,2x7MyWybabEz6Y6wvHuwGE,synth-pop
She Wolf,4cS2HQ6jK80vqdY9ofpztx,synth-pop
Bulletproof,3kMrazSvILsgcwtidZd1Qd,synth-pop
LoveGame,0TcJ7QWpggdSg8t0fHThHm,synth-pop
In For The Kill,6yRraj2ghJiIcVbQ6Vb59Q,synth-pop
When Love Takes Over (feat. Kelly Rowland),77FULy278MulVvGWS8BfK7,synth-pop
Fireflies,3DamFFqW32WihKkTVlwTYQ,synth-pop
Alejandro,1HHeOs6zRdF8Ck58easiAY,synth-pop
Your Song - Bonus Track,1a9hBnJodCsNcp0HoJAObp,synth-pop
Dancing On My Own - Radio Edit,7g13jf3zqlP5S68Voo5v9m,synth-pop
Starry Eyed,14OF4JQOIm4hb0GfG5nfyF,synth-pop
Higher,0QVAlchLCx15ZLSoR9Wg1B,synth-pop
Paradise,6nek1Nin9q48AVZcWs9e9D,synth-pop
What the Hell,2z4U9d5OAA4YLNXoCgioxo,synth-pop
Midnight City,1eyzqe2QqGZUmfcPZtrIyt,synth-pop
Don't Hold Your Breath,7pAq1IXYZpL42HchCminu6,synth-pop
Paradise,6nek1Nin9q48AVZcWs9e9D,synth-pop
Good Time,1kPpge9JDLpcj15qgrPbYX,synth-pop
Starships,1oHNvJVbFkexQc0BpQp7Y4,synth-pop
I Love It (feat. Charli XCX),6HZ9VeI5IRFCNQLXhpF4bq,synth-pop
Scream,12eMQUn2GzfsfsQLH53M19,synth-pop
Oblivion,3LGsgpx4TfxhXbr07OFKqs,synth-pop
Madness,0c4IEciLCDdXEhhKxj4ThA,synth-pop
Take a Walk,4Sfa7hdVkqlM8UW5LsSY3F,synth-pop
Lights - Single Version,5aTsxlQlq0vIedDWZoqMWN,synth-pop
Safe And Sound,6Z8R6UsFuGXGtiIxiD8ISb,synth-pop
Burn,5lF0pHbsJ0QqyIrLweHJPW,synth-pop
I Love It (feat. Charli XCX),6HZ9VeI5IRFCNQLXhpF4bq,synth-pop
"Hold On, We're Going Home",2aSC2xhRxOLiiZZVjhbylH,synth-pop
Love Me Harder,5J4ZkQpzMUFojo1CtAZYpn,synth-pop
Break Free,12KUFSHFgT0XCoiSlvdQi4,synth-pop
Burn,5lF0pHbsJ0QqyIrLweHJPW,synth-pop
Love Me Harder,5J4ZkQpzMUFojo1CtAZYpn,synth-pop
Style,4lIxdJw6W3Fg4vUIYCB0S5,synth-pop
I Really Like You,2hHLbkatPwOOmrNxTiD41L,synth-pop
Wildest Dreams,59HjlYCeBsxdI0fcm3zglw,synth-pop
Dancing On My Own,2BOqDYLOJBiMOXShCV1neZ,synth-pop
Somebody Else,5hc71nKsUgtwQ3z52KEKQk,synth-pop
Same Old Love,1BZG99C7Co1r6QUC3zaS59,synth-pop
Thunder,1zB4vmk8tFRmM9UULNzbLB,synth-pop
Little Dark Age,2Y0iGXY6m6immVb2ktbseM,synth-pop
Paris,72jbDTw1piOOj770jWNeaG,synth-pop
Scars To Your Beautiful,42ydLwx4i5V49RXHOozJZq,synth-pop
Delicate,6NFyWDv5CjfwuzoCkw47Xf,synth-pop
This Feeling,4NBTZtAt1F13VvlSKe6KTl,synth-pop
Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr,synth-pop
You Need To Calm Down,6RRNNciQGZEXnqk8SQ9yv5,synth-pop
bury a friend,4SSnFejRGlZikf02HLewEF,synth-pop
Light On,6UnCGAEmrbGIOSmGRZQ1M2,synth-pop
Blinding Lights,0sf12qNH5qcw8qpgymFOqD,synth-pop
you broke me first,45bE4HXI0AwGZXfZtMp8JR,synth-pop
In Your Eyes,7szuecWAPwGoV1e5vGu8tl,synth-pop
Midnight Sky,27ycaQnQAxaPiyeg3nr2aB,synth-pop
Physical,3AzjcOeAmA57TIOr9zF1ZW,synth-pop
Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy,synth-pop
Bad Habits,6PQ88X9TkUIAUIZJHW2upE,synth-pop
Hold On,4u4NyuceXP7Uzh7XFJKCr1,synth-pop
My Universe,3FeVmId7tL5YN8B7R3imoM,synth-pop
Anyone,31qCy5ZaophVA81wtlwLc4,synth-pop
Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,synth-pop
Save Your Tears,5QO79kh1waicV47BqGRL3g,synth-pop
Anti-Hero,0V3wPSX9ygBnCm8psDIegu,synth-pop
As It Was,4LRPiXqCikLlN15c3yImP7,synth-pop
Is There Someone Else?,0mL82sxCRjrs3br407IdJh,synth-pop
Unholy (feat. Kim Petras),3nqQXoyQOWXiESFLlDF1hG,synth-pop
Late Night Talking,1qEmFfgcLObUfQm0j1W2CK,synth-pop
Ghost,6I3mqTwhRpn34SLVafSH7G,synth-pop
Lavender Haze,5jQI2r1RdgtuT8S3iG8zFC,synth-pop
One Right Now (with The Weeknd),00Blm7zeNqgYLPtW6zg8cj,synth-pop
Light Switch,1BSMpVGWs3v5BZKnAQziAc,synth-pop
Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr,synth-pop
Chemical,5w40ZYhbBMAlHYNDaVJIUu,synth-pop
All Of The Girls You Loved Before,4P9Q0GojKVXpRTJCaL3kyy,synth-pop
Single Soon,6iF4RgIjDvDqyW13PezSj3,synth-pop
As It Was,4Dvkj6JhhA12EX05fT7y2e,synth-pop
Like Crazy,3Ua0m0YmEjrMi9XErKcNiR,synth-pop
Anti-Hero,0V3wPSX9ygBnCm8psDIegu,synth-pop
Double Fantasy (with Future),4VMRsbfZzd3SfQtaJ1Wpwi,synth-pop
Dragostea Din Tei - Original Romanian Version,6YkHLUPBUttfwepwFgNNGX,synth-pop
Treasure,55h7vJchibLdUkxdlX3fK7,synth-pop
Sweet but Psycho,7DnAm9FOTWE3cUvso43HhI,synth-pop
STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20,synth-pop
Cold Heart - PNAU Remix,6zSpb8dQRaw0M1dK8PBwQz,synth-pop
Cold Heart - PNAU Remix,7rglLriMNBPAyuJOMGwi39,synth-pop
STAY (with Justin Bieber),5PjdY0CKGZdEuoNab3yDmX,synth-pop
ALIEN SUPERSTAR,1Hohk6AufHZOrrhMXZppax,synth-pop
Boy's a liar Pt. 2,6AQbmUe0Qwf5PZnt4HmTXv,synth-pop
Cupid - Twin Ver.,7FbrGaHYVDmfr7KoLIZnQ7,synth-pop
Karma,7KokYm8cMIXCsGVmUvKtqf,synth-pop
bad idea right?,2i8f4VnnBjy0yDqH2C452a,synth-pop
