track_name,track_id,genre
Oops!...I Did It Again,6naxalmIoLFWR0siv8dnQQ,teen pop
Lucky,2TTYIwTM2iLC1YOyHuhRMt,teen pop
What a Girl Wants,5bGmuxShUba9maPswDnhCs,teen pop
Born to Make You Happy,4l1MNtoCiTxBwf6yxD7kFd,teen pop
Leave (Get Out),3DOxMCaNBNvnjSzpHUSjE3,teen pop
Love Machine,6SHvqMjPEQqyJaxuEzNcr3,teen pop
Beautiful Soul,1HwpWwa6bnqqRhK8agG4RS,teen pop
Burnin' Up,2VEsmoek0sol9MnJFyoG9e,teen pop
One Time,6eDApnV9Jdb1nYahOlbbUh,teen pop
Baby,6epn3r7S14KUqlReYr77hA,teen pop
Call Me Maybe,3TGRqZ0a2l1LRblBkJoaDx,teen pop
I Knew You Were Trouble.,6FB3v4YcR57y4tXFcdxI1E,teen pop
I Knew You Were Trouble.,6FB3v4YcR57y4tXFcdxI1E,teen pop
Shower,3DmW6y7wTEYHJZlLo1r6XJ,teen pop
Black Magic,6rmXhRIemCTPyMYZRDN7Qg,teen pop
happier,2tGvwE8GcFKwNdAXMnlbfl,teen pop
