track_name,track_id,genre
What You Know,0CAJdthKDdRjB2h8YOguN6,trap music
Put On,3OePAyHePd68TTKmy2hjq0,trap music
Lollipop,4P7VFiaZb3xrXoqGwZXC3J,trap music
Turn My Swag On,6ATrsVaZT7XjkCynxM8cTS,trap music
How Low,1WtTLtofvcjQM3sXSMkDdX,trap music
Mercy,4qikXelSRKvoCqFcHLB2H2,trap music
m.A.A.d city,439TlnnznSiBbQbgXiBqAd,trap music
Love Me,2XHzzp1j4IfTNp1FTn7YFg,trap music
Dark Horse,4jbmgIyjGoXjY01XxatOx6,trap music
Hot N*gga,19gEmPjfqSZT0ulDRfjl0m,trap music
Man Of The Year,5SsR3wtCOafDmZgvIdRhSm,trap music
CoCo,2JI71GHwq2LN8mtq3iCLYo,trap music
The Hills,7fBv7CLKzipRk6EC6TWHOB,trap music
Bitch Better Have My Money,0NTMtAO2BV4tnGvw9EgBVq,trap music
Trap Queen,2d8JP84HNLKhmd6IYOoupQ,trap music
Antidote,1wHZx0LgzFHyeIZkUydNXq,trap music
Jumpman,27GmP9AWRs744SzKcpJsTZ,trap music
GDFR (feat. Sage the Gemini & Lookas),26rdOwwjC2UnweK3xeS58u,trap music
Panda,5YEOzOojehCqxGQCcQiyR4,trap music
Low Life (feat. The Weeknd),7EiZI6JVHllARrX9PUvAdX,trap music
Jumpman,27GmP9AWRs744SzKcpJsTZ,trap music
2 Phones,0wdKiSBUT7aZkXUIdJWcwC,trap music
Tiimmy Turner,3NJG6vMH1ZsectZkocMEm0,trap music
goosebumps,6gBFPUFcJLzWGx4lenP6h2,trap music
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,trap music
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,trap music
Mask Off,0VgkVdmE4gld66l8iyGjgx,trap music
DNA.,6HZILIRieu8S0iqY8kIKhj,trap music
Magnolia,1e1JKLEDKP7hEQzJfNAgPl,trap music
Bank Account,5eqK0tbzUPo2SoeZsov04s,trap music
Black Beatles,6fujklziTHa8uoM5OQSfIo,trap music
Fetish (feat. Gucci Mane),4lnAN2S1fcI0SjxEbksZVr,trap music
Tunnel Vision,4Q3N4Ct4zCuIHuZ65E3BD4,trap music
Bad and Boujee (feat. Lil Uzi Vert),0M9ydKzuF3oZTfYYPfaGX1,trap music
Bodak Yellow,6KBYefIoo7KydImq1uUQlL,trap music
God's Plan,6DCZcSspjsKoFjzjrWoCdn,trap music
SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,trap music
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,trap music
Ric Flair Drip (with Metro Boomin),7sO5G9EABYOXQKNPNiE9NR,trap music
Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,trap music
Mo Bamba,1xzBco0xcoJEDXktl7Jxrr,trap music
Nonstop,0TlLq3lA83rQOYtrqBqSct,trap music
Stir Fry,2UVbBKQOdFAekPTRsnkzcf,trap music
Walk It Talk It,6n4U3TlzUGhdSFbUUhTvLP,trap music
Bodak Yellow,6KBYefIoo7KydImq1uUQlL,trap music
Look Alive (feat. Drake),6HJ34Zyw6bg8yGm28AxLXf,trap music
Plug Walk,1ZAyjvIk9YiD76yYy0TEG6,trap music
This Is America,0b9oOr2ZgvyQu88wzixux9,trap music
7 rings,6ocbgoVGwYJhOv1GgI9NsF,trap music
Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,trap music
SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,trap music
Ransom,1lOe9qE0vR9zwWQAOk6CoO,trap music
MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,trap music
Wow.,7xQAfvXzm3AkraOtGPWIZg,trap music
Robbery,6iaSML1PIYq936g62BDtBq,trap music
