track_name,track_id,genre
What Do You Mean?,4B0JvthVoAAuygILe3n4Bs,tropical house
Sorry,09CtPGIpYB4BrO8qb1RGsF,tropical house
Firestone,1I8tHoNBFTuoJAlh4hfVVE,tropical house
Stole the Show,5masKPHeAOVNgxdLebIcK7,tropical house
Where Are Ü Now (with Justin Bieber),66hayvUbTotekKU3H4ta1f,tropical house
Sorry,09CtPGIpYB4BrO8qb1RGsF,tropical house
Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU,tropical house
I Took A Pill In Ibiza - Seeb Remix,0vbtURX4qv1l7besfwmnD8,tropical house
My Way,1vvNmPOiUuyCbgWmtc6yfm,tropical house
Stole the Show,5masKPHeAOVNgxdLebIcK7,tropical house
Perfect Strangers,3P3pw6C19j31Rnzgo3JG7o,tropical house
The Ocean (feat. Shy Martin),2CPqh63wRVscbceKcPxwvv,tropical house
Hotter Than Hell,5eTNdkstwKaNahHf41fJ9u,tropical house
Sweet Lovin' - Radio Edit,1qp0ptMXNg9hqLH8sk7cc2,tropical house
Shape of You,7qiZfU4dY1lWllzX7mPBI3,tropical house
Don't Wanna Know (feat. Kendrick Lamar),1nueTG77MzNkJTKQ0ZdGzT,tropical house
Passionfruit,5mCPDVBb16L4XQwDdbRUpz,tropical house
New Rules,2ekn2ttSfGqwhhate0LSR0,tropical house
"Let Me Go (with Alesso, Florida Georgia Line & watt)",5Gu0PDLN4YJeW75PpBSg9p,tropical house
Lonely Together (feat. Rita Ora),75NhhYjHO43mvZgYtnXgti,tropical house
"Let Me Go (with Alesso, Florida Georgia Line & watt)",5Gu0PDLN4YJeW75PpBSg9p,tropical house
Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,tropical house
ily (i love you baby) (feat. Emilee),62aP9fBQKYKxi7PDXwcUAS,tropical house
Selfish Love (with Selena Gomez),3XoflnowYPFRPOh3uFvHcm,tropical house
Where Are You Now,3uUuGVFu1V7jTQL60S1r8z,tropical house
