track_id,playlist_url,year,track_name,track_popularity,album,artist_id,artist_name,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
6naxalmIoLFWR0siv8dnQQ,https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,"Oops!...I Did It Again",81,"Oops!... I Did It Again",26dSoYclwsYLMAKD3tpOr4,"Britney Spears",81,751,834,1,-5444,0,437,3,177,355,894,95053,211160,4,"teen pop"
6naxalmIoLFWR0siv8dnQQ,https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,"Oops!...I Did It Again",81,"Oops!... I Did It Again",26dSoYclwsYLMAKD3tpOr4,"Britney Spears",81,751,834,1,-5444,0,437,3,177,355,894,95053,211160,4,dance-pop
2m1hi0nfMR9vdGC8UcrnwU,https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,"All The Small Things",83,"Enema Of The State",6FBDaR13swtiWwGhX1WQsP,blink-182,79,434,897,0,-4918,1,488,103,0,612,684,148726,167067,4,"pop rock"
2m1hi0nfMR9vdGC8UcrnwU,https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,"All The Small Things",83,"Enema Of The State",6FBDaR13swtiWwGhX1WQsP,blink-182,79,434,897,0,-4918,1,488,103,0,612,684,148726,167067,4,"power pop"
2m1hi0nfMR9vdGC8UcrnwU,https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,"All The Small Things",83,"Enema Of The State",6FBDaR13swtiWwGhX1WQsP,blink-182,79,434,897,0,-4918,1,488,103,0,612,684,148726,167067,4,pop-punk
3y4LxiYMgDl4RethdzpmNe,https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,Breathe,66,Breathe,25NQNriVT2YbSW80ILRWJa,"Faith Hill",62,529,496,7,-9007,1,29,173,0,251,278,136859,250547,4,"country pop"
0v1XpBHnsbkCn7iJ9Ucr1l,https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,"It's My Life",81,Crush,58lV9VcRSjABbAbfWS6skp,"Bon Jovi",79,551,913,0,-4063,0,466,263,135,347,544,119992,224493,4,"alternative rock"
0v1XpBHnsbkCn7iJ9Ucr1l,https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,"It's My Life",81,Crush,58lV9VcRSjABbAbfWS6skp,"Bon Jovi",79,551,913,0,-4063,0,466,263,135,347,544,119992,224493,4,"arena rock"
0v1XpBHnsbkCn7iJ9Ucr1l,https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,"It's My Life",81,Crush,58lV9VcRSjABbAbfWS6skp,"Bon Jovi",79,551,913,0,-4063,0,466,263,135,347,544,119992,224493,4,"pop rock"
62bOmKYxYg7dhrC6gH9vFn,https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,"Bye Bye Bye",75,"No Strings Attached",6Ff53KvcvAj5U7Z1vojB5o,*NSYNC,70,61,926,8,-4843,0,479,31,12,821,861,172638,200400,4,dance-pop
